BalancePublico,Mes
28884.00,01/10/2016
-56453.00,01/11/2016
-224969.00,01/12/2016
-29615.00,01/01/2017
-1927.00,01/02/2017
340612.00,01/03/2017
58484.00,01/04/2017
14194.00,01/05/2017
-239894.00,01/06/2017
-22563.00,01/07/2017
-13889.00,01/08/2017
-42185.00,01/09/2017
45317.00,01/10/2017
-38813.00,01/11/2017
-308191.00,01/12/2017
-20418.00,01/01/2018
-47385.00,01/02/2018
-24133.00,01/03/2018
97740.00,01/04/2018
-42702.00,01/05/2018
-169832.00,01/06/2018
7344.00,01/07/2018
-31453.00,01/08/2018
-80179.00,01/09/2018
35850.00,01/10/2018
-30241.40,01/11/2018
-163754.20,01/12/2018
-58749.80,01/01/2019
20088.70,01/02/2019
-4077.00,01/03/2019
66194.50,01/04/2019
-9565.00,01/05/2019
-154664.00,01/06/2019
-51596.00,01/07/2019
36510.00,01/08/2019
-41431.80,01/09/2019
-1105.10,01/10/2019
-4272.80,01/11/2019
-186241.40,01/12/2019
36132.80,01/01/2020
-38857.00,01/02/2020
-14674.00,01/03/2020
-69600.40,01/04/2020
