CostoFinanciero,Mes
15604,oct-16
19029,nov-16
133237,dic-16
45432,ene-17
17134,feb-17
39129,mar-17
26664,abr-17
14694,may-17
136562,jun-17
39194,jul-17
10939,ago-17
29378,sep-17
13057,oct-17
15596,nov-17
145413,dic-17
58743,ene-18
23012,feb-18
43916,mar-18
41607,abr-18
14443,may-18
150007,jun-18
32649,jul-18
24611,ago-18
32466,sep-18
"17,060.0",oct-18
"15,227.10",nov-18
"161,289.30",dic-18
"69,905.20",ene-19
"24,697.70",feb-19
"44,227.00",mar-19
"43,852.00",abr-19
"19,231.30",may-19
"160,033.00",jun-19
"37,977.70",jul-19
"24,180.50",ago-19
"40,778.90",sep-19
"18,096.00",oct-19
"16,181.00",nov-19
"167,313.70",dic-19
"63,242.00",ene-20
"32,323.00",feb-20
"52,079.30",mar-20
"52,148.00",abr-20
,
,
,
,
,
,
,
,
,
,
,
,
