CostoFinanciero,Mes
15604.00,oct-16
19029.00,nov-16
133237.00,dic-16
45432.00,ene-17
17134.00,feb-17
39129.00,mar-17
26664.00,abr-17
14694.00,may-17
136562.00,jun-17
39194.00,jul-17
10939.00,ago-17
29378.00,sep-17
13057.00,oct-17
15596.00,nov-17
145413.00,dic-17
58743.00,ene-18
23012.00,feb-18
43916.00,mar-18
41607.00,abr-18
14443.00,may-18
150007.00,jun-18
32649.00,jul-18
24611.00,ago-18
32466.00,sep-18
17060.00,oct-18
15227.10,nov-18
161289.30,dic-18
69905.20,ene-19
24697.70,feb-19
44227.00,mar-19
43852.00,abr-19
19231.30,may-19
160033.00,jun-19
37977.70,jul-19
24180.50,ago-19
40778.90,sep-19
18096.00,oct-19
16181.00,nov-19
167313.70,dic-19
63242.00,ene-20
32323.00,feb-20
52079.30,mar-20
52148.00,abr-20
,
,
,
,
,
,
,
,
,
,
,
,
