"","Concepto","Intereses","Total","Gastos de compromiso","Otras comisiones"
"1","Banca de Desarrollo","35.0","35.0","0.0","0.0"
"2","Comercio Exterior","0.3","0.3","0.0","0.0"
"3","Corto Plazo","0.9","3.5","2.6","0.0"
"4","Empresas Productivas del Estado 1_/","130.8","133.4","2.6","0.0"
"5","Estructura por Fuente de Financiamiento","743.1","764.9","3.6","18.2"
"6","Estructura por Plazo","743.1","764.9","3.6","18.2"
"7","Estructura por Usuario","743.1","764.9","3.6","18.2"
"8","Gobierno Federal","577.3","596.5","1.0","18.2"
"9","Largo Plazo","742.2","761.4","1.0","18.2"
"10","Mercado Bancario","22.2","24.8","2.6","0.0"
"11","Mercado de Capitales","589.3","605.8","0.0","16.5"
"12","Organismos Financieros Internacionales (OFIâ€™s)","126.6","129.3","1.0","1.7"
"13","Pidiregas","4.7","4.7","0.0","0.0"
