"","Concepto","Intereses","Total","Gastos de compromiso","Otras comisiones"
"1","Banca de Desarrollo","34.7","34.7","0.0","0.0"
"2","Comercio Exterior","4.3","4.4","0.0","0.1"
"3","Corto Plazo","25.6","25.6","0.0","0.0"
"4","Empresas Productivas del Estado 1_/","474.8","499.1","0.0","24.3"
"5","Estructura por Fuente de Financiamiento","684.4","714.8","0.1","30.3"
"6","Estructura por Plazo","684.4","714.8","0.1","30.3"
"7","Estructura por Usuario","684.4","714.8","0.1","30.3"
"8","Gobierno Federal","174.9","181.0","0.1","6.0"
"9","Largo Plazo","658.8","689.2","0.1","30.3"
"10","Mercado Bancario","48.6","72.6","0.0","24.0"
"11","Mercado de Capitales","542.7","545.9","0.0","3.2"
"12","Organismos Financieros Internacionales (OFIâ€™s)","85.8","88.9","0.1","3.0"
"13","Pidiregas","3.0","3.0","0.0","0.0"
