"","Concepto","Intereses","Total","Gastos de compromiso","Otras comisiones"
"1","Banca de Desarrollo","60.4","60.4","0.0","0.0"
"2","Comercio Exterior","50.6","50.9","0.0","0.3"
"3","Corto Plazo","4.5","4.5","0.0","0.0"
"4","Empresas Productivas del Estado 1_/","419.9","424.1","2.5","1.7"
"5","Estructura por Fuente de Financiamiento","626.0","642.2","2.9","13.3"
"6","Estructura por Plazo","626.0","642.2","2.9","13.3"
"7","Estructura por Usuario","626.0","642.2","2.9","13.3"
"8","Gobierno Federal","145.7","157.7","0.4","11.6"
"9","Largo Plazo","621.5","637.7","2.9","13.3"
"10","Mercado Bancario","26.7","29.5","2.5","0.3"
"11","Mercado de Capitales","424.3","435.7","0.0","11.4"
"12","Organismos Financieros Internacionales (OFIâ€™s)","104.9","106.6","0.4","1.3"
"13","Pidiregas","19.5","19.5","0.0","0.0"
