"","Concepto","Intereses","Total","Gastos de compromiso","Otras comisiones"
"1","Banca de Desarrollo","22.7","22.7","0.0","0.0"
"2","Comercio Exterior","8.1","8.3","0.0","0.2"
"3","Corto Plazo","3.5","3.5","0.0","0.0"
"4","Empresas Productivas del Estado 1_/","540.5","544.0","3.3","0.2"
"5","Estructura por Fuente de Financiamiento","1,169.7","1,181.8","3.4","8.7"
"6","Estructura por Plazo","1,169.7","1,181.8","3.4","8.7"
"7","Estructura por Usuario","1,169.7","1,181.8","3.4","8.7"
"8","Gobierno Federal","606.5","615.1","0.1","8.5"
"9","Largo Plazo","1,166.2","1,178.3","3.4","8.7"
"10","Mercado Bancario","24.8","28.0","3.2","0.0"
"11","Mercado de Capitales","977.4","985.0","0.0","7.6"
"12","Organismos Financieros Internacionales (OFIâ€™s)","140.6","141.7","0.2","0.9"
"13","Pidiregas","18.8","18.8","0.0","0.0"
