"","Concepto","Intereses","Total","Gastos de compromiso","Otras comisiones"
"1","Banca de Desarrollo","36.0","36.0","0.0","0.0"
"2","Comercio Exterior","4.5","4.6","0.0","0.1"
"3","Corto Plazo","15.2","15.2","0.0","0.0"
"4","Empresas Productivas del Estado 1_/","651.1","652.7","1.6","0.0"
"5","Estructura por Fuente de Financiamiento","1,028.5","1,038.3","1.8","8.0"
"6","Estructura por Plazo","1,028.5","1,038.3","1.8","8.0"
"7","Estructura por Usuario","1,028.5","1,038.3","1.8","8.0"
"8","Gobierno Federal","341.4","349.6","0.2","8.0"
"9","Largo Plazo","1,013.3","1,023.1","1.8","8.0"
"10","Mercado Bancario","37.3","38.9","1.6","0.0"
"11","Mercado de Capitales","902.6","908.7","0.0","6.1"
"12","Organismos Financieros Internacionales (OFIâ€™s)","80.5","82.5","0.2","1.8"
"13","Pidiregas","3.6","3.6","0.0","0.0"
