"","Concepto","Intereses","Total","Gastos de compromiso","Otras comisiones"
"1","Banca de Desarrollo","22.9","22.9","0.0","0.0"
"2","Comercio Exterior","8.7","16.4","0.0","7.7"
"3","Corto Plazo","17.3","17.3","0.0","0.0"
"4","Empresas Productivas del Estado 1_/","592.8","675.6","2.9","79.9"
"5","Estructura por Fuente de Financiamiento","1,284.4","1,391.1","3.0","103.7"
"6","Estructura por Plazo","1,284.4","1,391.1","3.0","103.7"
"7","Estructura por Usuario","1,284.4","1,391.1","3.0","103.7"
"8","Gobierno Federal","668.7","692.6","0.1","23.8"
"9","Largo Plazo","1,267.1","1,373.8","3.0","103.7"
"10","Mercado Bancario","47.7","122.7","2.8","72.2"
"11","Mercado de Capitales","1,064.2","1,087.1","0.0","22.9"
"12","Organismos Financieros Internacionales (OFIâ€™s)","145.1","146.2","0.2","0.9"
"13","Pidiregas","18.7","18.7","0.0","0.0"
