"","Concepto","Intereses","Total","Gastos de compromiso","Otras comisiones"
"1","Banca de Desarrollo","11.4","11.4","0.0","0.0"
"2","Comercio Exterior","5.9","6.0","0.0","0.1"
"3","Corto Plazo","10.0","10.0","0.0","0.0"
"4","Empresas Productivas del Estado 1_/","745.0","747.5","2.4","0.1"
"5","Estructura por Fuente de Financiamiento","1,276.2","1,285.1","2.6","6.3"
"6","Estructura por Plazo","1,276.2","1,285.1","2.6","6.3"
"7","Estructura por Usuario","1,276.2","1,285.1","2.6","6.3"
"8","Gobierno Federal","519.8","526.2","0.2","6.2"
"9","Largo Plazo","1,266.2","1,275.1","2.6","6.3"
"10","Mercado Bancario","64.6","67.1","2.4","0.1"
"11","Mercado de Capitales","1,139.2","1,145.1","0.0","5.9"
"12","Organismos Financieros Internacionales (OFIâ€™s)","29.1","29.5","0.2","0.2"
"13","Pidiregas","37.4","37.4","0.0","0.0"
