"","Concepto","Intereses","Total","Gastos de compromiso","Otras comisiones"
"1","Banca de Desarrollo","35.7","35.7","0.0","0.0"
"2","Comercio Exterior","14.2","14.2","0.0","0.0"
"3","Corto Plazo","22.1","22.1","0.0","0.0"
"4","Empresas Productivas del Estado 1_/","135.1","135.3","0.2","0.0"
"5","Estructura por Fuente de Financiamiento","294.4","296.0","0.2","1.4"
"6","Estructura por Plazo","294.4","296.0","0.2","1.4"
"7","Estructura por Usuario","294.4","296.0","0.2","1.4"
"8","Gobierno Federal","123.6","125.0","0.0","1.4"
"9","Largo Plazo","272.3","273.9","0.2","1.4"
"10","Mercado Bancario","43.1","43.3","0.2","0.0"
"11","Mercado de Capitales","106.7","107.0","0.0","0.3"
"12","Organismos Financieros Internacionales (OFIâ€™s)","122.4","123.5","0.0","1.1"
"13","Pidiregas","8.0","8.0","0.0","0.0"
