"","Concepto","Intereses","Total","Gastos de compromiso","Otras comisiones"
"1","Banca de Desarrollo","26.9","27.2","0.3","0.0"
"2","Comercio Exterior","9.2","23.6","0.0","14.4"
"3","Corto Plazo","1.1","1.1","0.0","0.0"
"4","Empresas Productivas del Estado 1_/","220.5","236.8","1.7","14.6"
"5","Estructura por Fuente de Financiamiento","373.1","391.5","2.0","16.4"
"6","Estructura por Plazo","373.1","391.5","2.0","16.4"
"7","Estructura por Usuario","373.1","391.5","2.0","16.4"
"8","Gobierno Federal","125.7","127.5","0.0","1.8"
"9","Largo Plazo","372.0","390.4","2.0","16.4"
"10","Mercado Bancario","30.1","31.8","1.7","0.0"
"11","Mercado de Capitales","201.7","202.5","0.0","0.8"
"12","Organismos Financieros Internacionales (OFIâ€™s)","123.3","124.8","0.3","1.2"
"13","Pidiregas","8.8","8.8","0.0","0.0"
