"","Concepto","Intereses","Total","Gastos de compromiso","Otras comisiones"
"1","Banca de Desarrollo","42.9","42.9","0.0","0.0"
"2","Comercio Exterior","0.5","0.5","0.0","0.0"
"3","Corto Plazo","2.3","2.3","0.0","0.0"
"4","Empresas Productivas del Estado 1_/","34.1","48.5","1.8","12.6"
"5","Estructura por Fuente de Financiamiento","477.4","497.6","2.9","17.3"
"6","Estructura por Plazo","477.4","497.6","2.9","17.3"
"7","Estructura por Usuario","477.4","497.6","2.9","17.3"
"8","Gobierno Federal","400.4","406.2","1.1","4.7"
"9","Largo Plazo","475.1","495.3","2.9","17.3"
"10","Mercado Bancario","24.8","26.6","1.8","0.0"
"11","Mercado de Capitales","290.2","305.7","0.0","15.5"
"12","Organismos Financieros Internacionales (OFIâ€™s)","156.2","159.1","1.1","1.8"
"13","Pidiregas","5.7","5.7","0.0","0.0"
