"","Concepto","Intereses","Total","Gastos de compromiso","Otras comisiones"
"1","Banca de Desarrollo","13.7","14.0","0.3","0.0"
"2","Comercio Exterior","7.9","8.1","0.0","0.2"
"3","Corto Plazo","17.2","17.2","0.0","0.0"
"4","Empresas Productivas del Estado 1_/","746.9","1,053.9","0.5","306.5"
"5","Estructura por Fuente de Financiamiento","1,067.8","1,380.2","1.0","311.4"
"6","Estructura por Plazo","1,067.8","1,380.2","1.0","311.4"
"7","Estructura por Usuario","1,067.8","1,380.2","1.0","311.4"
"8","Gobierno Federal","307.2","312.3","0.2","4.9"
"9","Largo Plazo","1,050.6","1,363.0","1.0","311.4"
"10","Mercado Bancario","38.4","38.9","0.5","0.0"
"11","Mercado de Capitales","952.5","1,263.5","0.0","311.0"
"12","Organismos Financieros Internacionales (OFIâ€™s)","32.9","33.6","0.5","0.2"
"13","Pidiregas","36.1","36.1","0.0","0.0"
