"","Comisiones","Total","Concepto","Intereses"
"1","123.7","13,390.7","Suma de estructura por plazo",13267
"2","123.7","9,954.4","Largo plazo",9830.7
"3","0.0","3,436.3","Corto plazo",3436.3
"4","123.7","13,390.7","Suma de estructura por usuario",13267
"5","123.5","8,791.8","Usuario_GobFederal",8668.3
"6","123.5","5,799.4","Usuario_GobFederal_LargoPlazo",5675.9
"7","0.0","2,992.4","Usuario_GobFederal_CortoPlazo",2992.4
"8","0.2","2,908.6","Usuario_EmpresasProductivas",2908.4
"9","0.2","2,575.8","Usuario_EmpresasProductivas_LargoPlazo",2575.6
"10","0.0","332.8","Usuario_EmpresasProductivas_CortoPlazo",332.8
"11","0.0","1,690.3","Usuario_BancaDesarrollo",1690.3
"12","0.0","1,579.2","Usuario_BancaDesarrollo_LargoPlazo",1579.2
"13","0.0","111.1","Usuario_BancaDesarrollo_CortoPlazo",111.1
"14","123.7","13,390.7","Suma de estructuras por fuente de financiamiento",13267
"15","79.8","8,523.7","Emision de valores",8443.9
"16","0.0","264.9","Fondo de ahorro SAR",264.9
"17","0.2","1,699.8","Banca Comercial",1699.6
"18","0.0","13.1","Obligaciones ISSTE",13.1
"19","0.0","1,644.1","Bonos de pensión PEMEX",1644.1
"20","0.0","0.0","Bonos de pensión CFE",0
"21","43.7","1,245.1","Otros",1201.4
