"","Comisiones","Total","Concepto","Intereses"
"1","174.0","11,413.0","Suma de estructura por plazo",11239
"2","174.0","7,145.7","Largo plazo",6971.7
"3","0.0","4,267.3","Corto plazo",4267.3
"4","174.0","11,413.0","Suma de estructura por usuario",11239
"5","172.7","9,629.3","Usuario_GobFederal",9456.6
"6","172.7","5,534.2","Usuario_GobFederal_LargoPlazo",5361.5
"7","0.0","4,095.1","Usuario_GobFederal_CortoPlazo",4095.1
"8","1.3","832.2","Usuario_EmpresasProductivas",830.9
"9","1.3","704.3","Usuario_EmpresasProductivas_LargoPlazo",703
"10","0.0","127.9","Usuario_EmpresasProductivas_CortoPlazo",127.9
"11","0.0","951.5","Usuario_BancaDesarrollo",951.5
"12","0.0","907.2","Usuario_BancaDesarrollo_LargoPlazo",907.2
"13","0.0","44.3","Usuario_BancaDesarrollo_CortoPlazo",44.3
"14","174.0","11,413.0","Suma de estructuras por fuente de financiamiento",11239
"15","122.5","10,358.0","Emision de valores",10235.5
"16","0.0","271.0","Fondo de ahorro SAR",271
"17","0.0","477.4","Banca Comercial",477.4
"18","0.0","0.0","Obligaciones ISSTE",0
"19","0.0","0.0","Bonos de pensión PEMEX",0
"20","0.0","0.0","Bonos de pensión CFE",0
"21","51.5","306.6","Otros",255.1
