"","Concepto","Intereses","Comisiones","Total"
"1","Suma de estructura por plazo","146,921.0","2,993.5","149,914.5"
"2","Largo plazo","143,014.4","2,993.5","146,007.9"
"3","Corto plazo","3,906.6","0.0","3,906.6"
"4","Suma de estructura por usuario","146,921.0","2,993.5","149,914.5"
"5","Usuario_GobFederal","143,813.7","2,973.4","146,787.1"
"6","Usuario_GobFederal_LargoPlazo","140,315.1","2,973.4","143,288.5"
"7","Usuario_GobFederal_CortoPlazo","3,498.6","0.0","3,498.6"
"8","Usuario_EmpresasProductivas","1,944.2","20.1","1,964.3"
"9","Usuario_EmpresasProductivas_LargoPlazo","1,677.5","20.1","1,697.6"
"10","Usuario_EmpresasProductivas_CortoPlazo","266.7","0.0","266.7"
"11","Usuario_BancaDesarrollo","1,163.1","0.0","1,163.1"
"12","Usuario_BancaDesarrollo_LargoPlazo","1,021.8","0.0","1,021.8"
"13","Usuario_BancaDesarrollo_CortoPlazo","141.3","0.0","141.3"
"14","Suma de estructuras por fuente de financiamiento","146,921.0","2,993.5","149,914.5"
"15","Emision de valores","145,334.4","2,936.0","148,270.4"
"16","Fondo de ahorro SAR","256.7","0.0","256.7"
"17","Banca Comercial","762.2","11.6","773.8"
"18","Obligaciones ISSTE","0.0","0.0","0.0"
"19","Bonos de pensión PEMEX","0.0","0.0","0.0"
"20","Bonos de pensión CFE","0.0","0.0","0.0"
"21","Otros","567.7","45.9","613.6"
