"","Comisiones","Total","Concepto","Intereses"
"1","153.5","17,457.1","Suma de estructura por plazo",17303.6
"2","153.5","12,583.1","Largo plazo",12429.6
"3","0.0","4,874.0","Corto plazo",4874
"4","153.5","17,457.1","Suma de estructura por usuario",17303.6
"5","142.7","13,229.8","Usuario_GobFederal",13087.1
"6","142.7","8,686.3","Usuario_GobFederal_LargoPlazo",8543.6
"7","0.0","4,543.5","Usuario_GobFederal_CortoPlazo",4543.5
"8","10.8","3,277.6","Usuario_EmpresasProductivas",3266.8
"9","10.8","3,103.7","Usuario_EmpresasProductivas_LargoPlazo",3092.9
"10","0.0","173.9","Usuario_EmpresasProductivas_CortoPlazo",173.9
"11","0.0","949.7","Usuario_BancaDesarrollo",949.7
"12","0.0","793.1","Usuario_BancaDesarrollo_LargoPlazo",793.1
"13","0.0","156.6","Usuario_BancaDesarrollo_CortoPlazo",156.6
"14","153.5","17,457.1","Suma de estructuras por fuente de financiamiento",17303.6
"15","106.8","13,978.6","Emision de valores",13871.8
"16","0.0","266.9","Fondo de ahorro SAR",266.9
"17","0.5","1,197.2","Banca Comercial",1196.7
"18","0.0","0.7","Obligaciones ISSTE",0.7
"19","0.0","1,511.0","Bonos de pensión PEMEX",1511
"20","0.0","0.0","Bonos de pensión CFE",0
"21","46.2","502.7","Otros",456.5
