"","Comisiones","Total","Concepto","Intereses"
"1","122.6","10,107.5","Suma de estructura por plazo",9984.9
"2","122.6","6,533.1","Largo plazo",6410.5
"3","0.0","3,574.4","Corto plazo",3574.4
"4","122.6","10,107.5","Suma de estructura por usuario",9984.9
"5","122.6","8,419.9","Usuario_GobFederal",8297.3
"6","122.6","5,100.9","Usuario_GobFederal_LargoPlazo",4978.3
"7","0.0","3,319.0","Usuario_GobFederal_CortoPlazo",3319
"8","0.0","870.5","Usuario_EmpresasProductivas",870.5
"9","0.0","696.6","Usuario_EmpresasProductivas_LargoPlazo",696.6
"10","0.0","173.9","Usuario_EmpresasProductivas_CortoPlazo",173.9
"11","0.0","817.1","Usuario_BancaDesarrollo",817.1
"12","0.0","735.6","Usuario_BancaDesarrollo_LargoPlazo",735.6
"13","0.0","81.5","Usuario_BancaDesarrollo_CortoPlazo",81.5
"14","122.6","10,107.5","Suma de estructuras por fuente de financiamiento",9984.9
"15","79.6","7,990.4","Emision de valores",7910.8
"16","0.0","276.1","Fondo de ahorro SAR",276.1
"17","0.0","553.7","Banca Comercial",553.7
"18","0.0","21.7","Obligaciones ISSTE",21.7
"19","0.0","979.6","Bonos de pensión PEMEX",979.6
"20","0.0","0.0","Bonos de pensión CFE",0
"21","43.0","286.0","Otros",243
