"","Comisiones","Total","Intereses","Concepto"
"1","138.3","11,721.9",11583.6,"Suma de estructura por plazo"
"2","138.3","7,536.4",7398.1,"Largo plazo"
"3","0.0","4,185.5",4185.5,"Corto plazo"
"4","138.3","11,721.9",11583.6,"Suma de estructura por usuario"
"5","131.6","9,894.2",9762.6,"Usuario_GobFederal"
"6","131.6","6,198.6",6067,"Usuario_GobFederal_LargoPlazo"
"7","0.0","3,695.6",3695.6,"Usuario_GobFederal_CortoPlazo"
"8","6.7","1,007.7",1001,"Usuario_EmpresasProductivas"
"9","6.7","562.2",555.5,"Usuario_EmpresasProductivas_LargoPlazo"
"10","0.0","445.5",445.5,"Usuario_EmpresasProductivas_CortoPlazo"
"11","0.0","820.0",820,"Usuario_BancaDesarrollo"
"12","0.0","775.6",775.6,"Usuario_BancaDesarrollo_LargoPlazo"
"13","0.0","44.4",44.4,"Usuario_BancaDesarrollo_CortoPlazo"
"14","138.3","11,721.9",11583.6,"Suma de estructuras por fuente de financiamiento"
"15","86.8","10,377.9",10291.1,"Emision de valores"
"16","0.0","291.8",291.8,"Fondo de ahorro SAR"
"17","0.0","706.9",706.9,"Banca Comercial"
"18","0.0","23.3",23.3,"Obligaciones ISSTE"
"19","0.0","0.0",0,"Bonos de pensión PEMEX"
"20","0.0","0.0",0,"Bonos de pensión CFE"
"21","51.5","322.0",270.5,"Otros"
