"","Comisiones","Total","Concepto","Intereses"
"1","135.3","14,438.0","Suma de estructura por plazo",14302.7
"2","135.3","11,631.1","Largo plazo",11495.8
"3","0.0","2,806.9","Corto plazo",2806.9
"4","135.3","14,438.0","Suma de estructura por usuario",14302.7
"5","125.6","10,068.9","Usuario_GobFederal",9943.3
"6","125.6","7,456.8","Usuario_GobFederal_LargoPlazo",7331.2
"7","0.0","2,612.1","Usuario_GobFederal_CortoPlazo",2612.1
"8","9.7","3,329.1","Usuario_EmpresasProductivas",3319.4
"9","9.7","3,193.6","Usuario_EmpresasProductivas_LargoPlazo",3183.9
"10","0.0","135.5","Usuario_EmpresasProductivas_CortoPlazo",135.5
"11","0.0","1,040.0","Usuario_BancaDesarrollo",1040
"12","0.0","980.7","Usuario_BancaDesarrollo_LargoPlazo",980.7
"13","0.0","59.3","Usuario_BancaDesarrollo_CortoPlazo",59.3
"14","135.3","14,438.0","Suma de estructuras por fuente de financiamiento",14302.7
"15","89.1","12,608.0","Emision de valores",12518.9
"16","0.0","0.0","Fondo de ahorro SAR",0
"17","0.6","1,175.8","Banca Comercial",1175.2
"18","0.0","0.0","Obligaciones ISSTE",0
"19","0.0","0.0","Bonos de pensión PEMEX",0
"20","0.0","0.0","Bonos de pensión CFE",0
"21","45.6","654.2","Otros",608.6
