"","Comisiones","Total","Concepto","Intereses"
"1","3,839.5","153,329.1","Suma de estructura por plazo",149489.6
"2","3,820.2","150,537.6","Largo plazo",146717.4
"3","19.3","2,791.5","Corto plazo",2772.2
"4","3,839.5","153,329.1","Suma de estructura por usuario",149489.6
"5","3,811.0","150,893.8","Usuario_GobFederal",147082.8
"6","3,811.0","148,320.7","Usuario_GobFederal_LargoPlazo",144509.7
"7","0.0","2,573.1","Usuario_GobFederal_CortoPlazo",2573.1
"8","28.5","1,362.4","Usuario_EmpresasProductivas",1333.9
"9","9.2","1,215.9","Usuario_EmpresasProductivas_LargoPlazo",1206.7
"10","19.3","146.5","Usuario_EmpresasProductivas_CortoPlazo",127.2
"11","0.0","1,072.9","Usuario_BancaDesarrollo",1072.9
"12","0.0","1,001.0","Usuario_BancaDesarrollo_LargoPlazo",1001
"13","0.0","71.9","Usuario_BancaDesarrollo_CortoPlazo",71.9
"14","3,839.5","153,329.1","Suma de estructuras por fuente de financiamiento",149489.6
"15","3,774.8","152,246.3","Emision de valores",148471.5
"16","0.0","269.4","Fondo de ahorro SAR",269.4
"17","19.3","509.2","Banca Comercial",489.9
"18","0.0","0.0","Obligaciones ISSTE",0
"19","0.0","0.0","Bonos de pensión PEMEX",0
"20","0.0","0.0","Bonos de pensión CFE",0
"21","45.4","304.2","Otros",258.8
