"","Concepto","Intereses","Comisiones","Total"
"1","Suma de estructura por plazo","21,608.1","587.7","22,195.8"
"2","Largo plazo","18,037.1","575.5","18,612.6"
"3","Corto plazo","3,571.0","12.2","3,583.2"
"4","Suma de estructura por usuario","21,608.1","587.7","22,195.8"
"5","Usuario_GobFederal","16,180.0","567.0","16,747.0"
"6","Usuario_GobFederal_LargoPlazo","12,883.8","567.0","13,450.8"
"7","Usuario_GobFederal_CortoPlazo","3,296.2","0.0","3,296.2"
"8","Usuario_EmpresasProductivas","3,432.4","20.7","3,453.1"
"9","Usuario_EmpresasProductivas_LargoPlazo","3,261.7","8.5","3,270.2"
"10","Usuario_EmpresasProductivas_CortoPlazo","170.7","12.2","182.9"
"11","Usuario_BancaDesarrollo","1,995.7","0.0","1,995.7"
"12","Usuario_BancaDesarrollo_LargoPlazo","1,891.6","0.0","1,891.6"
"13","Usuario_BancaDesarrollo_CortoPlazo","104.1","0.0","104.1"
"14","Suma de estructuras por fuente de financiamiento","21,608.1","587.7","22,195.8"
"15","Emision de valores","19,207.1","537.7","19,744.8"
"16","Fondo de ahorro SAR","242.3","0.0","242.3"
"17","Banca Comercial","514.1","12.2","526.3"
"18","Obligaciones ISSTE","17.4","0.0","17.4"
"19","Bonos de pensión PEMEX","1,062.8","0.0","1,062.8"
"20","Bonos de pensión CFE","0.0","0.0","0.0"
"21","Otros","564.4","37.8","602.2"
