"","Concepto","Intereses","Comisiones","Total"
"1","Suma de estructura por plazo","17,903.2","163.6","18,066.8"
"2","Largo plazo","14,715.7","163.6","14,879.3"
"3","Corto plazo","3,187.5","0.0","3,187.5"
"4","Suma de estructura por usuario","17,903.2","163.6","18,066.8"
"5","Usuario_GobFederal","12,628.9","162.5","12,791.4"
"6","Usuario_GobFederal_LargoPlazo","9,717.0","162.5","9,879.5"
"7","Usuario_GobFederal_CortoPlazo","2,911.9","0.0","2,911.9"
"8","Usuario_EmpresasProductivas","3,988.7","1.1","3,989.8"
"9","Usuario_EmpresasProductivas_LargoPlazo","3,820.6","1.1","3,821.7"
"10","Usuario_EmpresasProductivas_CortoPlazo","168.1","0.0","168.1"
"11","Usuario_BancaDesarrollo","1,285.6","0.0","1,285.6"
"12","Usuario_BancaDesarrollo_LargoPlazo","1,178.1","0.0","1,178.1"
"13","Usuario_BancaDesarrollo_CortoPlazo","107.5","0.0","107.5"
"14","Suma de estructuras por fuente de financiamiento","17,903.2","163.6","18,066.8"
"15","Emision de valores","15,489.9","111.6","15,601.5"
"16","Fondo de ahorro SAR","252.3","0.0","252.3"
"17","Banca Comercial","547.9","0.7","548.6"
"18","Obligaciones ISSTE","1.3","0.0","1.3"
"19","Bonos de pensión PEMEX","1,235.2","0.0","1,235.2"
"20","Bonos de pensión CFE","0.0","0.0","0.0"
"21","Otros","376.6","51.3","427.9"
