"","Concepto","Intereses","Comisiones","Total"
"1","Suma de estructura por plazo","13,116.3",219.5,"13,335.8"
"2","Largo plazo","9,407.7",219.5,"9,627.2"
"3","Corto plazo","3,708.6",0,"3,708.6"
"4","Suma de estructura por usuario","13,116.3",219.5,"13,335.8"
"5","Usuario_GobFederal","7,944.8",144.4,"8,089.2"
"6","Usuario_GobFederal_LargoPlazo","4,507.1",144.4,"4,651.5"
"7","Usuario_GobFederal_CortoPlazo","3,437.7",0,"3,437.7"
"8","Usuario_EmpresasProductivas","3,968.4",75.1,"4,043.5"
"9","Usuario_EmpresasProductivas_LargoPlazo","3,825.8",75.1,"3,900.9"
"10","Usuario_EmpresasProductivas_CortoPlazo","142.6",0,"142.6"
"11","Usuario_BancaDesarrollo","1,203.1",0,"1,203.1"
"12","Usuario_BancaDesarrollo_LargoPlazo","1,074.8",0,"1,074.8"
"13","Usuario_BancaDesarrollo_CortoPlazo","128.3",0,"128.3"
"14","Suma de estructuras por fuente de financiamiento","13,116.3",219.5,"13,335.8"
"15","Emision de valores","12,035.9",101.8,"12,137.7"
"16","Fondo de ahorro SAR","255.2",0,"255.2"
"17","Banca Comercial","509.6",70.9,"580.5"
"18","Obligaciones ISSTE","0.0",0,"0.0"
"19","Bonos de pensión PEMEX","0.0",0,"0.0"
"20","Bonos de pensión CFE","0.0",0,"0.0"
"21","Otros","315.6",46.8,"362.4"
