"","Comisiones","Total","Concepto","Intereses"
"1","372.2","14,888.2","Suma de estructura por plazo",14516
"2","133.7","11,390.4","Largo plazo",11256.7
"3","238.5","3,497.8","Corto plazo",3259.3
"4","372.2","14,888.2","Suma de estructura por usuario",14516
"5","133.7","9,481.1","Usuario_GobFederal",9347.4
"6","133.7","6,481.6","Usuario_GobFederal_LargoPlazo",6347.9
"7","0.0","2,999.5","Usuario_GobFederal_CortoPlazo",2999.5
"8","238.5","4,163.5","Usuario_EmpresasProductivas",3925
"9","0.0","3,735.9","Usuario_EmpresasProductivas_LargoPlazo",3735.9
"10","238.5","427.6","Usuario_EmpresasProductivas_CortoPlazo",189.1
"11","0.0","1,243.6","Usuario_BancaDesarrollo",1243.6
"12","0.0","1,172.9","Usuario_BancaDesarrollo_LargoPlazo",1172.9
"13","0.0","70.7","Usuario_BancaDesarrollo_CortoPlazo",70.7
"14","372.2","14,888.2","Suma de estructuras por fuente de financiamiento",14516
"15","81.0","13,478.8","Emision de valores",13397.8
"16","0.0","270.0","Fondo de ahorro SAR",270
"17","238.5","742.7","Banca Comercial",504.2
"18","0.0","0.0","Obligaciones ISSTE",0
"19","0.0","0.0","Bonos de pensión PEMEX",0
"20","0.0","0.0","Bonos de pensión CFE",0
"21","52.7","396.7","Otros",344
