"","Concepto","Intereses","Comisiones","Total"
"1","Suma de estructura por plazo","13,510.0","162.0","13,672.0"
"2","Largo plazo","9,875.2","162.0","10,037.2"
"3","Corto plazo","3,634.8","0.0","3,634.8"
"4","Suma de estructura por usuario","13,510.0","162.0","13,672.0"
"5","Usuario_GobFederal","9,784.2","161.9","9,946.1"
"6","Usuario_GobFederal_LargoPlazo","6,387.6","161.9","6,549.5"
"7","Usuario_GobFederal_CortoPlazo","3,396.6","0.0","3,396.6"
"8","Usuario_EmpresasProductivas","2,338.6","0.1","2,338.7"
"9","Usuario_EmpresasProductivas_LargoPlazo","2,183.5","0.1","2,183.6"
"10","Usuario_EmpresasProductivas_CortoPlazo","155.1","0.0","155.1"
"11","Usuario_BancaDesarrollo","1,387.2","0.0","1,387.2"
"12","Usuario_BancaDesarrollo_LargoPlazo","1,304.1","0.0","1,304.1"
"13","Usuario_BancaDesarrollo_CortoPlazo","83.1","0.0","83.1"
"14","Suma de estructuras por fuente de financiamiento","13,510.0","162.0","13,672.0"
"15","Emision de valores","10,964.5","114.4","11,078.9"
"16","Fondo de ahorro SAR","267.1","0.0","267.1"
"17","Banca Comercial","1,031.2","0.0","1,031.2"
"18","Obligaciones ISSTE","0.0","0.0","0.0"
"19","Bonos de pensión PEMEX","0.0","0.0","0.0"
"20","Bonos de pensión CFE","251.5","0.0","251.5"
"21","Otros","995.7","47.6","1,043.3"
