"","Comisiones","Total","Concepto","Intereses"
"1","630.9","24,336.6","Suma de estructura por plazo",23705.7
"2","613.4","20,779.4","Largo plazo",20166
"3","17.5","3,557.2","Corto plazo",3539.7
"4","630.9","24,336.6","Suma de estructura por usuario",23705.7
"5","613.4","18,606.1","Usuario_GobFederal",17992.7
"6","613.4","15,277.7","Usuario_GobFederal_LargoPlazo",14664.3
"7","0.0","3,328.4","Usuario_GobFederal_CortoPlazo",3328.4
"8","17.5","3,787.5","Usuario_EmpresasProductivas",3770
"9","0.0","3,627.1","Usuario_EmpresasProductivas_LargoPlazo",3627.1
"10","17.5","160.4","Usuario_EmpresasProductivas_CortoPlazo",142.9
"11","0.0","1,943.0","Usuario_BancaDesarrollo",1943
"12","0.0","1,874.6","Usuario_BancaDesarrollo_LargoPlazo",1874.6
"13","0.0","68.4","Usuario_BancaDesarrollo_CortoPlazo",68.4
"14","630.9","24,336.6","Suma de estructuras por fuente de financiamiento",23705.7
"15","571.1","22,623.0","Emision de valores",22051.9
"16","0.0","266.1","Fondo de ahorro SAR",266.1
"17","17.5","535.9","Banca Comercial",518.4
"18","0.0","0.0","Obligaciones ISSTE",0
"19","0.0","0.0","Bonos de pensión PEMEX",0
"20","0.0","0.0","Bonos de pensión CFE",0
"21","42.3","911.6","Otros",869.3
