IngresosPresupuestarios,Fecha
372245,10/01/2016
339740,11/01/2016
632331,12/01/2016
406360,01/01/2017
351912,02/01/2017
719355,03/01/2017
433904,04/01/2017
367560,05/01/2017
376228,06/01/2017
415174,07/01/2017
368799,08/01/2017
332213,09/01/2017
376706,10/01/2017
377180,11/01/2017
421843,12/01/2017
465903,01/01/2018
389014,02/01/2018
406633,03/01/2018
453860,04/01/2018
377439,05/01/2018
405868,06/01/2018
511065,07/01/2018
399458,08/01/2018
378529,09/01/2018
428536,10/01/2018
436876.2,11/01/2018
458282.8,12/01/2018
447959.3,01/01/2019
405985.4,02/01/2019
442585.7,03/01/2019
491028.7,04/01/2019
413058.1,05/01/2019
423033.5,06/01/2019
428244.1,07/01/2019
428932.1,08/01/2019
496617.4,09/01/2019
391173,10/01/2019
473438.1,11/01/2019
543159.6,12/01/2019
540277.5,01/01/2020
394936.5,02/01/2020
527803,03/01/2020
406331.6,04/01/2020
