IngresosTributarios,Mes
197061.00,01/10/2016
219390.00,01/11/2016
258068.00,01/12/2016
256769.00,01/01/2017
225871.00,01/02/2017
249682.00,01/03/2017
280458.00,01/04/2017
222885.00,01/05/2017
233288.00,01/06/2017
253323.00,01/07/2017
231584.00,01/08/2017
223393.00,01/09/2017
205105.00,01/10/2017
231246.00,01/11/2017
253999.00,01/12/2017
298425.00,01/01/2018
238382.00,01/02/2018
247817.00,01/03/2018
293856.00,01/04/2018
228132.00,01/05/2018
251715.00,01/06/2018
275123.00,01/07/2018
234326.00,01/08/2018
231815.00,01/09/2018
246359.00,01/10/2018
245210.00,01/11/2018
236214.50,01/12/2018
318497.40,01/01/2019
259254.10,01/02/2019
280244.00,01/03/2019
315547.10,01/04/2019
252267.20,01/05/2019
268288.00,01/06/2019
264157.80,01/07/2019
244371.10,01/08/2019
242879.80,01/09/2019
239800.30,01/10/2019
236214.50,01/11/2019
262031.50,01/12/2019
364600.70,01/01/2020
263752.00,01/02/2020
376379.00,01/03/2020
273116.80,01/04/2020
