PIB,IngresosPresupuestarios,CostoFinanciero,DeudaPublica,DeudaExterna,DeudaTotal,primerT,segundoT,tercerT,cuartoT,Fecha,id
509945234.99,372245,15604,5925,319,6244,0,0,0,1,oct-16,1
465416040.87,339740,19029,7812,339,8151,0,0,0,1,nov-16,2
866241804.14,632331,133237,"126,854.90",660,127514.9,0,0,0,1,dic-16,3
869109219.04,406360,45432,7275,1201,8476,1,0,0,0,ene-17,4
752657652.06,351912,17134,6718,580,7298,1,0,0,0,feb-17,5
153853248.91,719355,39129,12458,531.6,12989.6,1,0,0,0,mar-17,6
666360522.80,433904,26664,6619,623.5,7242.5,0,1,0,0,abr-17,7
564473878.46,367560,14694,13315,289,13604,0,1,0,0,may-17,8
577785608.73,376228,136562,130361,658,131019,0,1,0,0,jun-17,9
665875322.36,415174,39194,9565,1274,10839,0,0,1,0,jul-17,10
591496945.89,368799,10939,8876,390,9266,0,0,1,0,ago-17,11
532818621.75,332213,29378,16831,858,17689,0,0,1,0,sep-17,12
600585184.22,376706,13057,10745,406,11151,0,0,0,1,oct-17,13
601340885.95,377180,15596,14189,379,14568,0,0,0,1,nov-17,14
672547439.83,421843,145413,135292,564.2,135856.2,0,0,0,1,dic-17,15
665637482.96,465903,58743,7953,623.2,8576.2,1,0,0,0,ene-18,16
555785860.57,389014,23012,7535,867,8402,1,0,0,0,feb-18,17
580958196.47,406633,43916,19958,1338,21296,1,0,0,0,mar-18,18
685087279.59,453860,41607,12331,675,13006,0,1,0,0,abr-18,19
569732203.15,377439,14443,12054,302.8,12356.8,0,1,0,0,may-18,20
612644877.26,405868,150007,139532,93.7,139625.7,0,1,0,0,jun-18,21
729796448.57,511065,32649,11930,1198,13128,0,0,1,0,jul-18,22
570422607.21,399458,24611,11260,170,11430,0,0,1,0,ago-18,23
540536174.22,378529,32466,17185,942,18127,0,0,1,0,sep-18,24
614440091.11,428536,17060,8843,319.3,9162.3,0,0,0,1,oct-18,25
626398083.81,436876.2,15227.1,"15,227.10",373.10,15600.2,0,0,0,1,nov-18,26
657090265.08,458282.8,161289.3,14516,626.00,15142,0,0,0,1,dic-18,27
629792405.66,447959.3,69905.2,17303.6,"1,169.70",18473.3,1,0,0,0,ene-19,28
570780517.44,405985.4,24697.7,9984.9,"1,028.50",11013.4,1,0,0,0,feb-19,29
622237016.91,442585.7,44227,"21,608.10","1,276.20",22884.3,1,0,0,0,mar-19,30
683031251.73,491028.7,43852,13267,701.70,13968.7,0,1,0,0,abr-19,31
574573186.82,413058.1,19231.3,"17,903.20",294.40,18197.6,0,1,0,0,may-19,32
588448641.45,423033.5,160033,"149,489.60",603.90,150093.5,0,1,0,0,jun-19,33
579867042.70,428244.1,37977.7,14302.7,"1,284.40",15587.1,0,0,1,0,jul-19,34
580798634.33,428932.1,24180.5,11239,684.40,11923.4,0,0,1,0,ago-19,35
672448022.96,496617.4,40778.9,23705.7,"1,067.80",24773.5,0,0,1,0,sep-19,36
523508851.83,391173,18096,"13,510.00",477.40,13987.4,0,0,0,1,oct-19,37
633604527.39,473438.1,16181,"14,516.00",334.90,14850.9,0,0,0,1,nov-19,38
726912502.78,543159.6,167313.7,153441.6,549.80,153991.4,0,0,0,1,dic-19,39
663895385.17,540277.5,63242,"17,060.70","1,356.80",18417.5,1,0,0,0,ene-20,40
485299555.30,394936.5,32323,"11,583.60","1,004.60",12588.2,1,0,0,0,feb-20,41
648567264.53,527803,52079.3,"29,742.60","1,116.60",30859.2,1,0,0,0,mar-20,42
,406331.6,52148,"13,526.70",743.10,14269.8,0,1,0,0,abr-20,43
