Fecha,Estatus,Valor
01/05/2020,Con Pandemia,64870
01/05/2020,Sin Pandemia,55687
01/06/2020,Con Pandemia,66594
01/06/2020,Sin Pandemia,57682
01/07/2020,Con Pandemia,64203
01/07/2020,Sin Pandemia,54883
01/08/2020,Con Pandemia,63758
01/08/2020,Sin Pandemia,54095
01/09/2020,Con Pandemia,65271
01/09/2020,Sin Pandemia,55711
01/10/2020,Con Pandemia,63229
01/10/2020,Sin Pandemia,53420
01/11/2020,Con Pandemia,62041
01/11/2020,Sin Pandemia,52250
01/12/2020,Con Pandemia,66714
01/12/2020,Sin Pandemia,56792
01/01/2021,Con Pandemia,65953
01/01/2021,Sin Pandemia,55775
01/02/2021,Con Pandemia,66412
01/02/2021,Sin Pandemia,50215
01/03/2021,Con Pandemia,69439
01/03/2021,Sin Pandemia,47460
