Fecha,Estatus,Valor
01/05/2020,Con Pandemia,478048
01/05/2020,Sin Pandemia,513678
01/06/2020,Con Pandemia,475997
01/06/2020,Sin Pandemia,510837
01/07/2020,Con Pandemia,475574
01/07/2020,Sin Pandemia,510022
01/08/2020,Con Pandemia,487819
01/08/2020,Sin Pandemia,524325
01/09/2020,Con Pandemia,495369
01/09/2020,Sin Pandemia,533577
01/10/2020,Con Pandemia,486651
01/10/2020,Sin Pandemia,524839
01/11/2020,Con Pandemia,500302
01/11/2020,Sin Pandemia,538810
01/12/2020,Con Pandemia,494974
01/12/2020,Sin Pandemia,534437
01/01/2021,Con Pandemia,494420
01/01/2021,Sin Pandemia,535366
01/02/2021,Con Pandemia,481289
01/02/2021,Sin Pandemia,531847
01/03/2021,Con Pandemia,458777
01/03/2021,Sin Pandemia,507731
