"","2019","2020","Variacion","Concepto"
"1","1,786.3","1,869.3","1.5","Ingresos Presupuestarios"
"2","1,173.5","1,277.8","5.6","Ingresos Tributarios"
"3","1,073.1","1,171.2","5.9","Ingresos sin IEPS de combuestibles"
"4","955.3","1,052.0","6.8","Gasto neto total sin erogaciones en inversiones financieras, pago de pensiones, participaciones y costo financiero"
"5","1,138.0","1,251.8","6.7","Gasto neto total sin erogaciones pero con costo financiero"
"6","1,739.5","1,908.8","6.5","Gasto neto sin erogaciones en inversiones financieras"
"7","1,775.3","1,957.4","7.0","Gasto neto total"
"8","669.7","761.9","10.4","Gasto corriente estructural"
"9","204.2","117.7","-44.1","Balance primario"
"10","80.3","-104.6","n.a.","RFSP"
"11","10,368.8","12,088.7","13.1","SHRFSP"
"12","10,782.2","12,361.5","11.2","Deuda pública"
