"","2018","2019","Concepto","Variacion"
"1","3,416.9","3,479.9","Ingresos Presupuestarios",1.81039685048421
"2","2,067.5","2,202.6","Ingresos Tributarios",6.1336602197403
"3","1,953.6","2,006.4","Ingresos sin IEPS de combuestibles",2.63157894736843
"4","2,141.4","1,979.5","Gasto neto total sin erogaciones en inversiones financieras, pago de pensiones, participaciones y costo financiero",-8.17883303864613
"5","2,530.2","2,403.6","Gasto neto total sin erogaciones pero con costo financiero",-5.26709935097354
"6","3,644.5","3,601.7","Gasto neto sin erogaciones en inversiones financieras",-1.18832773412556
"7","3,655.6","3,648.6","Gasto neto total",-0.191854409910651
"8","1,498.7","1,417.6","Gasto corriente estructural",-5.7209367945824
"9","162.5","279.8","Balance primario",41.9228020014296
"10","-269.9","-119.7","RFSP",-125.480367585631
"11","10,163.6","10,767.2","SHRFSP",5.60591425811725
"12","10,313.3","11,108.5","Deuda pública",7.15848224332719
