"","2019","Variacion","Concepto"
"1","5,384.3","24.2","Ingresos Presupuestarios"
"2","3,202.6","-34.6","Ingresos Tributarios"
"3","2,905.1","-28.2","Ingresos sin IEPS de combuestibles"
"4","3,197.5","13.4","Gasto neto total sin erogaciones en inversiones financieras, pago de pensiones, participaciones y costo financiero"
"5","3,864.0","-29.0","Gasto neto total sin erogaciones pero con costo financiero"
"6","5,619.8","-59.8","Gasto neto sin erogaciones en inversiones financieras"
"7","5,786.4","-40.7","Gasto neto total"
"8","2,335.3","21.1","Gasto corriente estructural"
"9","275.7","33.5","Balance primario"
"10","-564.7","116.3","RFSP"
"11","10,872.3","-373.4","SHRFSP"
"12","11,027.5","-350.5","Deuda pública"
