"","2018","2019","Concepto","Variacion"
"1","464.2","448.0","Ingresos Presupuestarios",-3.61607142857143
"2","298.2","318.5","Ingresos Tributarios",6.37362637362638
"3","285.6","288.8","Ingresos sin IEPS de combuestibles",1.10803324099723
"4","271.9","257.3","Gasto neto total sin erogaciones en inversiones financieras, pago de pensiones, participaciones y costo financiero",-5.674310143801
"5","330.7","327.2","Gasto neto total sin erogaciones pero con costo financiero",-1.06968215158924
"6","476.8","485.7","Gasto neto sin erogaciones en inversiones financieras",1.83240683549516
"7","490.5","506.7","Gasto neto total",3.19715808170515
"8","157.6","157.6","Gasto corriente estructural",0
"9","36.6","15.9","Balance primario",-130.188679245283
"10","-2.7","-18.5","RFSP",85.4054054054054
"11","9,861.3","10,460.0","SHRFSP",5.72370936902486
"12","9,970.0","10,800.6","Deuda pública",7.69031350110179
