"","2018","2019","Concepto","Variacion"
"1","853.2","853.9","Ingresos Presupuestarios",0.0819768122730919
"2","536.6","577.8","Ingresos Tributarios",7.13049498096226
"3","508.6","526.0","Ingresos sin IEPS de combuestibles",3.30798479087452
"4","554.9","465.4","Gasto neto total sin erogaciones en inversiones financieras, pago de pensiones, participaciones y costo financiero",-19.2307692307692
"5","636.6","560.0","Gasto neto total sin erogaciones pero con costo financiero",-13.6785714285714
"6","918.8","876.4","Gasto neto sin erogaciones en inversiones financieras",-4.83797352806937
"7","933.7","897.2","Gasto neto total",-4.06821221578243
"8","335.5","303.0","Gasto corriente estructural",-10.7260726072607
"9","7.3","57.7","Balance primario",87.3483535528596
"10","-44.6","-9.9","RFSP",-350.505050505051
"11","9,917.0","10,499.2","SHRFSP",5.54518439500153
"12","10,017.3","10,815.7","Deuda pública",7.38186155311262
