"","2019","2020","Concepto","Variacion"
"1","852.5","935.2","Ingresos Presupuestarios",0.911569717707442
"2","577.8","628.4","Ingresos Tributarios",0.919478039465309
"3","526.0","574.7","Ingresos sin IEPS de combuestibles",0.915260135722986
"4","467.9","467.9","Gasto neto total sin erogaciones en inversiones financieras, pago de pensiones, participaciones y costo financiero",1
"5","562.0","563.5","Gasto neto total sin erogaciones pero con costo financiero",0.997338065661047
"6","878.6","906.2","Gasto neto sin erogaciones en inversiones financieras",0.969543147208122
"7","899.4","938.4","Gasto neto total",0.95843989769821
"8","301.0","331.4","Gasto corriente estructural",0.908267954133977
"9","53.8","96.3","Balance primario",0.558670820353063
"10","-4.0","-37.6","RFSP",0.106382978723404
"11","10,495.2","10,970.6","SHRFSP",0.956665998213407
"12","10,819.3","11,230.2","Deuda pública",0.96341115919574
