"","2018","2019","Concepto","Variacion"
"1","3,013.0","3,050.9","Ingresos Presupuestarios",1.24225638336229
"2","1,833.2","1,958.2","Ingresos Tributarios",6.38341333878051
"3","1,734.8","1,787.8","Ingresos sin IEPS de combuestibles",2.9645374202931
"4","1,880.8","1,759.1","Gasto neto total sin erogaciones en inversiones financieras, pago de pensiones, participaciones y costo financiero",-6.91831049968734
"5","2,245.2","2,159.1","Gasto neto total sin erogaciones pero con costo financiero",-3.98777268306238
"6","3,211.8","3,211.2","Gasto neto sin erogaciones en inversiones financieras",-0.0186846038864089
"7","3,223.8","3,255.9","Gasto neto total",0.985902515433518
"8","1,316.7","1,263.2","Gasto corriente estructural",-4.23527549081697
"9","168.7","217.3","Balance primario",22.3653934652554
"10","-227.5","-114.0","RFSP",-99.5614035087719
"11","9,993.4","10,542.6","SHRFSP",5.20934114924213
"12","10,139.1","10,952.9","Deuda pública",7.42999570889901
