"","Concepto","2018","2019","Variación"
"2","Ingresos Presupuestarios","2,502.0","2,622.6","0.6"
"3","Ingresos Tributarios","1,558.1","1,694.1","4.4"
"5","Ingresos sin IEPS de combuestibles","1,474.3","1,546.2","0.7"
"12","Gasto neto total sin erogaciones en inversiones financieras, pago de pensiones, participaciones y costo financiero","1,620.3","1,466.7","-13.1"
"18","Gasto neto total sin erogaciones pero con costo financiero","1,952.0","1,828.7","-10.1"
"21","Gasto neto sin erogaciones en inversiones financieras","2,778.8","2,732.8","-5.6"
"22","Gasto neto total","2,789.2","2,775.7","-4.5"
"24","Gasto corriente estructural","1,118.9","1,050.2","-9.9"
"25","Balance primario","126.9","228.1","72.6"
"26","RFSP","-236.3","-60.9","n.a."
"27","SHRFSP","10,379.6","10,559.7","-2.3"
"28","Deuda pública","10,532.8","10,965.2","-0.1"
