"","Concepto","2018","2019","Variación"
"2","Ingresos Presupuestarios","1,259.4","1,295.4","-1.2"
"3","Ingresos Tributarios","784.4","858.0","5.1"
"4","Ingresos sin IEPS de combuestibles","741.3","780.6","1.1"
"6","Gasto neto total sin erogaciones en inversiones financieras, pago de pensiones, participaciones y costo financiero","820.2","723.5","-15.3"
"13","Gasto neto total sin erogaciones pero con costo financiero","945.9","862.4","-12.4"
"19","Gasto neto sin erogaciones en inversiones financieras","1,358.7","1,314.0","-7.1"
"22","Gasto neto total","1,376.8","1,345.4","-6.1"
"24","Gasto corriente estructural","538.7","502.5","-10.4"
"25","Balance primario","38.2","98.0","146.4"
"26","RFSP","-57.0","-17.8","n.a."
"27","SHRFSP","9,933.0","10,523.8","1.8"
"28","Deuda pública","10,034.2","10,846.9","3.8"
