"","2019","2020","Variacion","Concepto"
"1","1,295.4","1,462.9","9.2","Ingresos Presupuestarios"
"2","858.0","1,004.7","13.3","Ingresos Tributarios"
"3","780.6","922.8","14.3","Ingresos sin IEPS de combuestibles"
"4","727.6","812.0","7.9","Gasto neto total sin erogaciones en inversiones financieras, pago de pensiones, participaciones y costo financiero"
"5","866.0","959.6","7.2","Gasto neto total sin erogaciones pero con costo financiero"
"6","1,317.7","1,443.2","5.9","Gasto neto sin erogaciones en inversiones financieras"
"7","1,349.1","1,481.0","6.2","Gasto neto total"
"8","504.7","587.9","12.7","Gasto corriente estructural"
"9","93.6","137.7","42.2","Balance primario"
"10","-9.6","-49.7","n.a.","RFSP"
"11","10,520.2","11,860.1","9.0","SHRFSP"
"12","10,890.9","12,125.4","7.7","Deuda pública"
