"","Concepto","2018","2019","Variación"
"2","Ingresos Presupuestarios","2,095.4","2,199.5","0.7"
"3","Ingresos Tributarios","1,306.4","1,425.8","4.7"
"5","Ingresos sin IEPS de combuestibles","1,234.7","1,301.4","1.1"
"12","Gasto neto total sin erogaciones en inversiones financieras, pago de pensiones, participaciones y costo financiero","1,342.7","1,205.8","-13.8"
"18","Gasto neto total sin erogaciones pero con costo financiero","1,524.5","1,407.7","-11.4"
"21","Gasto neto sin erogaciones en inversiones financieras","2,204.5","2,154.0","-6.2"
"22","Gasto neto total","2,223.0","2,197.1","-5.1"
"24","Gasto corriente estructural","919.6","857.9","-10.5"
"25","Balance primario","135.4","217.9","54.4"
"26","RFSP","-54.4","73.2","n.a."
"27","SHRFSP","10,109.8","10,428.8","-1.0"
"28","Deuda pública","10,307.1","10,847.8","1.0"
