"","Concepto","2017","2018","Crecimiento"
"2","Ingresos Presupuestarios","4,203.0","4,655.1","5.6"
"3","Ingresos Tributarios","2,600.8","2,790.8","2.3"
"6","Ingresos sin IEPS de combuestibles","2,401.8","2,625.1","4.2"
"13","Gasto neto total sin erogaciones en inversiones financieras, pago de pensiones, participaciones y costo financiero","2,592.4","2,929.","7.7"
"19","Gasto neto total sin erogaciones pero con costo financiero","2,980.1","3,382.","8.2"
"22","Gasto neto sin erogaciones en inversiones financieras","4,356.9","4,908.1","7.4"
"23","Gasto neto total","4,471.2","4,974.4","6.1"
"26","Gasto corriente estructural","2,056.5","3.2",NA
"27","Balance primario","458.5","142.0","-70.5"
"29","RFSP","3.2","-351.0","n.a."
"31","SHRFSP","9,566.6","10,480.7","4.4"
"33","Deuda pública","9,550.5","10,731.7","7.1"
