"","2018","2019","Crecimiento real","Concepto"
"1","457,730.0","491,028.7","2.7","Ingresos Presupuestarios"
"3","-14.8","263,390.8",NA,"Petroleros"
"4","40,341.9","38,049.7","-9.7","Petroleros_GobFed"
"5","54,461.8","46,306.8","-18.6","Petroleros_Pemex"
"6","362,926.3","406,672.3","7.3","NoPetroleros"
"7","304,372.3","338,450.8","6.5","NoPetroleros_GobFed"
"8","293,867.3","315,504.8","2.8","NoPetroleros_GobFed_Tributarios"
"9","10,505.0","22,946.","109.2","NoPetroleros_GobFed_NoTributarios"
"10","33,505.0","35,345.","1.0","NoPetroleros_OrgDeControl"
"11","28,491.6","31,172.","4.8","NoPetroleros_OrgDeControl_IMSS"
"12","5,013.4","4,172.","-20.3","NoPetroleros_OrgDeControl_ISSTE"
"13","25,048.9","32,875.","25.7","No_Petroleros_CFE"
"14","431,920.5","424,834.","-5.8","Gasto neto pagado"
"16","-9.7","1,267,668.7",NA,"Programable"
"17","133,553.6","131,013.5","-6.0","Gasto de operación"
"18","80,926.6","85,074.","0.7","Servicios Personales"
"19","52,627.0","45,938.5","-16.4","Otros gastos de operación"
"20","62,787.8","70,569.1","7.6","Pensiones y Jubilaciones"
"21","66,938.8","52,358.","-25.1","Subsidios y transferencias"
"22","2,790.3","4,522.","55.2","Ayudas y otros gastos"
"23","54,827.0","41,645.3","-27.3","Inversión física"
"24","28,191.4","21,644.","-26.5","Inversión_física_directa"
"25","26,635.6","20,000.","-28.1","Inversión_física_indirecta"
"26","2,222.1","4,405.","89.9","Inversión financiera y otras"
"27","108,800.8","120,319.8","5.9","No programable"
"28","41,605.8","43,852.","0.9","Costo financiero"
"29","22,605.8","21,136.8","-10.5","Intereses comisiones y gastos"
"30","15,286.3","16,736.1","4.9","Intereses_gobFed"
"31","7,319.5","4,400.7","-42.4","Intereses_paraestatal"
"32","19,000.0","22,715.","14.5","Apoyo a ahorradores"
"33","19,000.0","22,715.","14.5","IPAB"
"34","0.0","0.","n.s.","Otros"
"35","71,215.2","79,184.2","6.5","Participaciones"
"36","-4,020.2","-2,717.1","n.s.","Adefas"
"37","25,809.6","66,194.5","145.6","Balance (A-B)"
"39","n.s.","22,628.5",NA,"Balance no presupuestario"
"40","97,740.4","62,526.","-38.7","Balance pùblico"
"41","151,807.8","104,074.","-34.3","Balance público sin inversión"
"43","120.2","133,709.1",NA,"Recursos externos"
"44","-116,264.4","-105,119.3","n.s.","Recursos internos"
"46","293,867.2","315,547.1","2.8","Ingresos tributarios"
"47","163,862.8","175,481.","2.6","Ingresos no tributarios"
