"","2018","2019","Crecimiento real","Concepto"
"1","403,923.0","428,932.1","2.9","Ingresos Presupuestarios"
"3","-29.5","546,153.6",NA,"Petroleros"
"4","47,819.9","26,335.8","-46.6","Petroleros_GobFed"
"5","38,609.6","36,480.","-8.4","Petroleros_Pemex"
"6","317,493.5","366,116.","11.8","NoPetroleros"
"7","247,182.0","292,781.2","14.8","NoPetroleros_GobFed"
"8","234,319.5","244,371.3","1.1","NoPetroleros_GobFed_Tributarios"
"9","12,862.5","48,410.","264.8","NoPetroleros_GobFed_NoTributarios"
"10","33,653.8","36,023.","3.8","NoPetroleros_OrgDeControl"
"11","29,753.7","31,887.","3.9","NoPetroleros_OrgDeControl_IMSS"
"12","3,900.1","4,136.5","2.8","NoPetroleros_OrgDeControl_ISSTE"
"13","36,657.7","37,310.8","-1.3","No_Petroleros_CFE"
"14","431,724.5","392,421.9","-11.9","Gasto neto pagado"
"16","-12.2","2,589,689.0",NA,"Programable"
"17","149,929.5","132,927.","-14.1","Gasto de operación"
"18","86,679.8","84,241.5","-5.8","Servicios Personales"
"19","63,249.7","48,685.","-25.4","Otros gastos de operación"
"20","70,637.4","73,946.3","1.5","Pensiones y Jubilaciones"
"21","49,400.8","35,946.1","-29.5","Subsidios y transferencias"
"22","4,713.3","2,493.1","-48.7","Ayudas y otros gastos"
"23","55,824.8","51,124.5","-11.2","Inversión física"
"24","25,121.7","29,278.","13.0","Inversión_física_directa"
"25","30,703.2","21,846.1","-31.0","Inversión_física_indirecta"
"26","-915.9","2,200.","n.s.","Inversión financiera y otras"
"27","102,134.5","93,784.5","-11.0","No programable"
"28","24,495.7","24,180.5","-4.3","Costo financiero"
"29","24,495.7","24,180.5","-4.3","Intereses comisiones y gastos"
"30","13,022.9","11,752.","-12.5","Intereses_gobFed"
"31","11,472.8","12,428.1","5.0","Intereses_paraestatal"
"32","0.0","0.","n.s.","Apoyo a ahorradores"
"33","0.0","0.","n.s.","IPAB"
"34","0.0","0.","n.s.","Otros"
"35","76,934.9","71,926.7","-9.4","Participaciones"
"36","703.9","-2,322.","n.s.","Adefas"
"37","-27,801.6","36,510.","n.s.","Balance (A-B)"
"39","n.s.","50,564.0",NA,"Balance no presupuestario"
"40","-31,453.0","34,967.9","n.s.","Balance pùblico"
"41","24,011.1","85,860.4","246.6","Balance público sin inversión"
"43","n.s.","200,457.1",NA,"Recursos externos"
"44","34,346.8","-44,208.","n.s.","Recursos internos"
"46","234,319.5","244,371.1","1.1","Ingresos tributarios"
"47","169,603.5","184,561.1","5.5","Ingresos no tributarios"
