"","2018","2019","Crecimiento real","NA"
"1","458,980.4","543,159.6","15.1","Ingresos Presupuestarios"
"2","93,046.0","121,030.0","26.5","Petroleros"
"3","47,084.1","33,976.3","-29.8","Petroleros_GobFed"
"4","45,961.9","87,053.8","84.2","Petroleros_Pemex"
"5","365,934.4","422,129.5","12.2","NoPetroleros"
"6","282,315.2","336,893.4","16.1","NoPetroleros_GobFed"
"7","271,536.6","281,129.3","0.7","NoPetroleros_GobFed_Tributarios"
"8","10,778.6","55,764.2","403.1","NoPetroleros_GobFed_NoTributarios"
"9","36,221.0","44,988.0","20.8","NoPetroleros_OrgDeControl"
"10","30,132.2","39,388.2","27.1","NoPetroleros_OrgDeControl_IMSS"
"11","6,088.7","5,599.8","-10.6","NoPetroleros_OrgDeControl_ISSTE"
"12","47,398.3","40,248.1","-17.4","No_Petroleros_CFE"
"13","623,052.5","729,401.0","13.8","Gasto neto pagado"
"14","398,167.0","490,786.6","19.9","Programable"
"15","221,858.2","269,048.3","17.9","Gasto de operación"
"16","166,543.4","186,265.6","8.8","Servicios Personales"
"17","55,314.8","82,782.7","45.5","Otros gastos de operación"
"18","43,937.0","59,086.6","30.8","Pensiones y Jubilaciones"
"19","41,614.6","78,963.2","84.5","Subsidios y transferencias"
"20","2,324.6","6,905.3","188.9","Ayudas y otros gastos"
"21","49,265.5","57,712.4","13.9","Inversión física"
"22","39,416.7","41,835.5","3.2","Inversión_física_directa"
"23","9,848.8","15,876.9","56.8","Inversión_física_indirecta"
"24","39,167.2","19,070.7","-52.6","Inversión financiera y otras"
"25","224,885.5","238,614.4","3.2","No programable"
"26","161,702.6","167,313.7","0.6","Costo financiero"
"27","161,702.6","167,313.7","0.6","Intereses comisiones y gastos"
"28","147,102.3","153,946.1","1.8","Intereses_gobFed"
"29","14,600.3","13,367.6","-11.0","Intereses_paraestatal"
"30","0.0","0.0","n.s.","Apoyo a ahorradores"
"31","0.0","0.0","n.s.","IPAB"
"32","0.0","0.0","n.s.","Otros"
"33","67,231.8","66,805.6","-3.4","Participaciones"
"34","-4,048.9","4,495.1","n.s.","Adefas"
"35","-164,072.1","-186,241.4","n.s.","Balance (A-B)"
"36","-14,835.6","-44,942.2","n.s.","Balance no presupuestario"
"37","-178,907.7","-231,183.7","n.s.","Balance pùblico"
"38","-133,686.7","-176,590.3","n.s.","Balance público sin inversión"
"39","-2,137.6","-47,909.4","n.s.","Recursos externos"
"40","181,045.3","279,093.1","49.9","Recursos internos"
"42","271,536.6","281,128.1","0.7","Ingresos tributarios"
"43","187,443.8","262,031.5","35.9","Ingresos no tributarios"
