"","2018","2019","Crecimiento real","Concepto"
"1","464,181.2","447,959.3","-7.5","Ingresos Presupuestarios"
"3","-52.3",NA,NA,"Petroleros"
"4","37,320.2","46,697.7","19.9","Petroleros_GobFed"
"5","51,912.9","-2,240.9","n.s.","Petroleros_Pemex"
"6","374,948.2","403,502.5","3.1","NoPetroleros"
"7","317,796.8","339,185.9","2.3","NoPetroleros_GobFed"
"8","298,217.0","318,497.4","2.3","NoPetroleros_GobFed_Tributarios"
"9","19,579.9","20,688.5","1.2","NoPetroleros_GobFed_NoTributarios"
"10","30,323.3","33,158.3","4.8","NoPetroleros_OrgDeControl"
"11","26,979.7","28,902.1","2.6","NoPetroleros_OrgDeControl_IMSS"
"12","3,343.6","4,256.2","22.0","NoPetroleros_OrgDeControl_ISSTE"
"13","26,828.0","31,158.4","11.3","No_Petroleros_CFE"
"14","490,458.4","506,709.1","-1.0","Gasto neto pagado"
"16","3.0",NA,NA,"Programable"
"17","148,259.3","148,463.9","-4.1","Gasto de operación"
"18","99,094.7","98,101.2","-5.1","Servicios Personales"
"19","49,164.6","50,362.6","-1.8","Otros gastos de operación"
"20","76,773.9","87,039.4","8.6","Pensiones y Jubilaciones"
"21","43,070.4","43,493.9","-3.2","Subsidios y transferencias"
"22","8,133.4","5,837.3","-31.2","Ayudas y otros gastos"
"23","49,597.0","59,198.1","14.4","Inversión física"
"24","34,184.6","41,716.9","16.9","Inversión_física_directa"
"25","15,412.4","17,481.2","8.7","Inversión_física_indirecta"
"26","13,635.9","20,965.8","47.3","Inversión financiera y otras"
"27","150,988.5","141,710.8","-10.1","No programable"
"28","58,759.9","69,905.2","14.0","Costo financiero"
"29","39,591.4","41,281.2","-0.1","Intereses comisiones y gastos"
"30","17,361.5","22,977.6","26.8","Intereses_gobFed"
"31","22,229.9","18,303.6","-21.1","Intereses_paraestatal"
"32","19,168.5","28,624.0","43.1","Apoyo a ahorradores"
"33","19,168.5","22,715.9","13.5","IPAB"
"34","0.0","5,908.2","n.s.","Otros"
"35","69,368.8","71,514.3","-1.2","Participaciones"
"36","22,859.8","291.4","-98.8","Adefas"
"37","-26,277.2","-58,749.8","n.s.","Balance (A-B)"
"39","161.9",NA,NA,"Balance no presupuestario"
"40","-20,418.9","-42,735.3","n.s.","Balance pùblico"
"41","28,913.9","16,360.5","-45.8","Balance público sin inversión"
"43","0.6",NA,NA,"Recursos externos"
"44","-45,554.6","-26,540.8","n.s.","Recursos internos"
"46","298,217.0","318,497.4","2.3","Ingresos tributarios"
"47","165,964.3","129,461.9","-25.3","Ingresos no tributarios"
