"","2018","2019","Crecimiento real","Concepto"
"1","388,974.4","405,985.4","0.4","Ingresos Presupuestarios"
"3","-4.2","105,459.7",NA,"Petroleros"
"4","45,236.0","34,252.5","-27.2","Petroleros_GobFed"
"5","16,052.2","26,750.5","60.3","Petroleros_Pemex"
"6","327,686.1","344,982.5","1.3","NoPetroleros"
"7","259,910.9","280,341.","3.8","NoPetroleros_GobFed"
"8","238,355.6","259,254.1","4.6","NoPetroleros_GobFed_Tributarios"
"9","21,555.3","21,087.8","-5.9","NoPetroleros_GobFed_NoTributarios"
"10","29,908.5","32,622.7","4.9","NoPetroleros_OrgDeControl"
"11","26,893.8","29,750.","6.4","NoPetroleros_OrgDeControl_IMSS"
"12","3,014.6","2,872.1","-8.3","NoPetroleros_OrgDeControl_ISSTE"
"13","37,866.8","32,017.8","-18.7","No_Petroleros_CFE"
"14","443,241.6","385,896.7","-16.2","Gasto neto pagado"
"16","-16.6","629,713.0",NA,"Programable"
"17","118,993.4","117,822.3","-4.7","Gasto de operación"
"18","80,384.3","80,263.","-3.9","Servicios Personales"
"19","38,609.1","37,558.5","-6.4","Otros gastos de operación"
"20","60,687.5","67,389.5","6.8","Pensiones y Jubilaciones"
"21","64,874.4","37,930.","-43.7","Subsidios y transferencias"
"22","4,971.4","-673.","n.s.","Ayudas y otros gastos"
"23","49,377.2","37,906.","-26.1","Inversión física"
"24","22,265.5","19,756.8","-14.6","Inversión_física_directa"
"25","27,111.7","18,149.1","-35.6","Inversión_física_indirecta"
"26","1,232.6","-214.1","n.s.","Inversión financiera y otras"
"27","143,105.1","125,736.","-15.5","No programable"
"28","23,002.5","24,697.7","3.3","Costo financiero"
"29","23,002.5","24,697.7","3.3","Intereses comisiones y gastos"
"30","10,695.8","13,522.2","21.6","Intereses_gobFed"
"31","12,306.7","11,175.5","-12.6","Intereses_paraestatal"
"32","0.0","0.","n.s.","Apoyo a ahorradores"
"33","0.0","0.","n.s.","IPAB"
"34","0.0","0.","n.s.","Otros"
"35","75,353.2","90,389.1","15.4","Participaciones"
"36","44,749.4","10,649.","-77.1","Adefas"
"37","-54,267.2","20,088.7","n.s.","Balance (A-B)"
"39","n.s.","15,589.4",NA,"Balance no presupuestario"
"40","-47,385.2","15,108.9","n.s.","Balance pùblico"
"41","1,679.4","52,964.1","-o-","Balance público sin inversión"
"43","-49.8","93,584.7",NA,"Recursos externos"
"44","15,495.7","-31,746.2","n.s.","Recursos internos"
"46","238,355.6","259,254.1","4.6","Ingresos tributarios"
"47","150,618.7","146,731.3","-6.3","Ingresos no tributarios"
