"","Concepto","2019","2020","Crecimiento real"
"1","Ingresos Presupuestarios","406,481.1","394,936.5","-6.3"
"3","Petroleros","-33.7","97,040.2",NA
"4","Petroleros_GobFed","34,252.5","29,596.","-16.7"
"5","Petroleros_Pemex","26,443.4","12,106.","-55.8"
"6","NoPetroleros","345,785.2","353,233.8","-1.5"
"7","NoPetroleros_GobFed","280,341.9","282,002.5","-3.0"
"8","NoPetroleros_GobFed_Tributarios","259,254.1","263,752.","-1.9"
"9","NoPetroleros_GobFed_NoTributarios","21,087.8","18,249.5","-16.5"
"10","NoPetroleros_OrgDeControl","33,425.5","36,087.","4.1"
"11","NoPetroleros_OrgDeControl_IMSS","29,750.6","32,033.3","3.8"
"12","NoPetroleros_OrgDeControl_ISSTE","3,674.9","4,054.3","6.4"
"13","No_Petroleros_CFE","32,017.8","35,143.7","5.9"
"14","Gasto neto pagado","391,471.1","433,793.6","6.9"
"16","Programable","8.6","654,255.5",NA
"17","Gasto de operación","118,909.1","116,741.","-5.3"
"18","Servicios Personales","78,773.4","86,546.7","6.0"
"19","Otros gastos de operación","40,135.7","30,195.2","-27.4"
"20","Pensiones y Jubilaciones","67,389.5","71,965.2","3.0"
"21","Subsidios y transferencias","37,942.1","57,310.2","45.7"
"22","Ayudas y otros gastos","-972.8","-2,156.","n.s."
"23","Inversión física","37,906.0","41,199.8","4.8"
"24","Inversión_física_directa","19,756.9","21,788.","6.4"
"25","Inversión_física_indirecta","18,149.1","19,411.","3.1"
"26","Inversión financiera y otras","-214.1","8,809.","n.s."
"27","No programable","130,511.4","139,923.","3.4"
"28","Costo financiero","27,546.7","32,323.","13.2"
"29","Intereses comisiones y gastos","27,546.7","32,323.","13.2"
"30","Intereses_gobFed","13,522.2","14,460.3","3.1"
"31","Intereses_paraestatal","14,024.5","17,863.3","22.8"
"32","Apoyo a ahorradores","0.0","0.","n.s."
"33","IPAB","0.0","0.","n.s."
"34","Otros","0.0","0.","n.s."
"35","Participaciones","90,591.6","97,650.","4.0"
"36","Adefas","12,373.0","9,949.","-22.5"
"37","Balance (A-B)","15,010.0","-38,857.","n.s."
"39","Balance no presupuestario","-o-","13,794.9",NA
"40","Balance pùblico","15,108.9","-30,159.6","n.s."
"41","Balance público sin inversión","52,964.2","10,942.6","-80.1"
"43","Recursos externos","n.s.","139,053.3",NA
"44","Recursos internos","-32,907.8","72,628.1","n.s."
"46","Ingresos tributarios","259,254.1","263,752.","-1.9"
"47","Ingresos no tributarios","147,226.9","131,183.","-14.1"
