"","2018","2019","Crecimiento real","Concepto"
"1","510,964.4","428,244.1","-19.2","Ingresos Presupuestarios"
"3","-26.0","483,337.4",NA,"Petroleros"
"4","46,526.2","36,737.","-23.9","Petroleros_GobFed"
"5","45,533.4","33,973.","-28.1","Petroleros_Pemex"
"6","418,904.8","357,533.3","-17.8","NoPetroleros"
"7","352,356.4","286,137.5","-21.8","NoPetroleros_GobFed"
"8","275,075.2","264,157.8","-7.5","NoPetroleros_GobFed_Tributarios"
"9","77,281.2","21,979.8","-72.6","NoPetroleros_GobFed_NoTributarios"
"10","33,178.5","34,104.","-1.0","NoPetroleros_OrgDeControl"
"11","28,333.5","31,083.","5.7","NoPetroleros_OrgDeControl_IMSS"
"12","4,845.0","3,021.","-39.9","NoPetroleros_OrgDeControl_ISSTE"
"13","33,370.0","37,291.1","7.7","No_Petroleros_CFE"
"14","434,672.6","479,840.6","6.4","Gasto neto pagado"
"16","9.3","2,290,837.5",NA,"Programable"
"17","151,412.7","168,237.3","7.1","Gasto de operación"
"18","107,823.1","108,908.","-2.7","Servicios Personales"
"19","43,589.5","59,328.7","31.1","Otros gastos de operación"
"20","66,599.6","71,633.8","3.6","Pensiones y Jubilaciones"
"21","51,342.2","72,919.","36.9","Subsidios y transferencias"
"22","697.3","2,362.1","226.4","Ayudas y otros gastos"
"23","51,334.8","49,625.8","-6.9","Inversión física"
"24","28,918.3","27,833.","-7.3","Inversión_física_directa"
"25","22,416.6","21,792.","-6.3","Inversión_física_indirecta"
"26","1,600.5","1,717.","3.4","Inversión financiera y otras"
"27","111,685.5","113,344.3","-2.2","No programable"
"28","32,550.3","37,977.7","12.4","Costo financiero"
"29","32,550.3","37,977.7","12.4","Intereses comisiones y gastos"
"30","18,314.9","21,301.1","12.1","Intereses_gobFed"
"31","14,235.4","16,676.","12.9","Intereses_paraestatal"
"32","0.0","0.","n.s.","Apoyo a ahorradores"
"33","0.0","0.","n.s.","IPAB"
"34","0.0","0.","n.s.","Otros"
"35","73,342.5","76,411.7","0.4","Participaciones"
"36","5,792.7","-1,045.1","n.s.","Adefas"
"37","76,291.8","-51,596.","n.s.","Balance (A-B)"
"39","n.s.","51,965.1",NA,"Balance no presupuestario"
"40","7,344.5","-33,152.2","n.s.","Balance pùblico"
"41","58,361.9","16,330.6","-73.0","Balance público sin inversión"
"43","-o-","191,520.1",NA,"Recursos externos"
"44","-9,510.0","-20,693.","n.s.","Recursos internos"
"46","275,074.3","264,157.8","-7.5","Ingresos tributarios"
"47","235,890.2","164,086.3","-33.0","Ingresos no tributarios"
