"","2018","2019","Crecimiento real","Concepto"
"1","406,613.6","423,033.5","0.1","Ingresos Presupuestarios"
"3","-13.3","412,626.6",NA,"Petroleros"
"4","50,473.3","40,946.","-22.0","Petroleros_GobFed"
"5","27,128.4","29,007.5","2.9","Petroleros_Pemex"
"6","329,012.0","353,079.2","3.2","NoPetroleros"
"7","262,906.6","279,622.","2.3","NoPetroleros_GobFed"
"8","251,715.3","268,288.","2.5","NoPetroleros_GobFed_Tributarios"
"9","11,191.3","11,334.","-2.6","NoPetroleros_GobFed_NoTributarios"
"10","34,095.6","38,210.","7.8","NoPetroleros_OrgDeControl"
"11","28,990.7","32,615.7","8.2","NoPetroleros_OrgDeControl_IMSS"
"12","5,104.9","5,595.","5.4","NoPetroleros_OrgDeControl_ISSTE"
"13","32,009.8","35,245.","5.9","No_Petroleros_CFE"
"14","566,173.4","577,697.5","-1.8","Gasto neto pagado"
"16","-4.5","1,924,047.5",NA,"Programable"
"17","148,570.9","135,769.5","-12.1","Gasto de operación"
"18","91,681.9","85,379.1","-10.4","Servicios Personales"
"19","56,889.0","50,390.","-14.8","Otros gastos de operación"
"20","68,654.4","74,955.3","5.0","Pensiones y Jubilaciones"
"21","65,235.7","71,544.","5.5","Subsidios y transferencias"
"22","2,455.9","2,472.","-3.2","Ayudas y otros gastos"
"23","57,246.3","46,915.7","-21.2","Inversión física"
"24","33,007.5","25,574.8","-25.5","Inversión_física_directa"
"25","24,238.8","21,340.","-15.3","Inversión_física_indirecta"
"26","-8,107.5","-115.","n.s.","Inversión financiera y otras"
"27","232,117.7","246,156.1","2.0","No programable"
"28","150,039.4","160,033.","2.6","Costo financiero"
"29","150,039.4","160,033.","2.6","Intereses comisiones y gastos"
"30","139,030.0","149,729.3","3.6","Intereses_gobFed"
"31","11,009.4","10,304.1","-10.0","Intereses_paraestatal"
"32","0.0","0.","n.s.","Apoyo a ahorradores"
"33","0.0","0.","n.s.","IPAB"
"34","0.0","0.","n.s.","Otros"
"35","78,042.2","82,708.2","2.0","Participaciones"
"36","4,036.2","3,414.5","-18.6","Adefas"
"37","-159,559.7","-154,664.","n.s.","Balance (A-B)"
"39","n.s.","33,197.0",NA,"Balance no presupuestario"
"40","-169,832.1","-152,272.7","n.s.","Balance pùblico"
"41","-112,883.4","-105,538.2","n.s.","Balance público sin inversión"
"43","n.s.","136,655.7",NA,"Recursos externos"
"44","176,001.9","145,980.","-20.2","Recursos internos"
"46","251,715.3","268,288.","2.5","Ingresos tributarios"
"47","154,898.3","154,744.","-3.9","Ingresos no tributarios"
