"","2018","2019","Crecimiento real","Concepto"
"1","405,014.9","442,585.7","5.1","Ingresos Presupuestarios"
"3","-9.1","179,034.4",NA,"Petroleros"
"4","42,158.1","33,923.7","-22.6","Petroleros_GobFed"
"5","35,649.6","39,652.3","6.9","Petroleros_Pemex"
"6","327,207.2","369,009.7","8.4","NoPetroleros"
"7","273,617.0","304,007.2","6.8","NoPetroleros_GobFed"
"8","247,839.1","280,244.","8.7","NoPetroleros_GobFed_Tributarios"
"9","25,777.9","23,762.3","-11.4","NoPetroleros_GobFed_NoTributarios"
"10","31,927.4","33,948.","2.2","NoPetroleros_OrgDeControl"
"11","28,353.0","30,981.2","5.","NoPetroleros_OrgDeControl_IMSS"
"12","3,574.4","2,967.1","-20.2","NoPetroleros_OrgDeControl_ISSTE"
"13","21,662.9","31,054.1","37.8","No_Petroleros_CFE"
"14","442,027.5","446,662.9","-2.8","Gasto neto pagado"
"16","-3.0","962,427.5",NA,"Programable"
"17","140,670.2","144,621.3","-1.1","Gasto de operación"
"18","90,315.8","90,926.","-3.2","Servicios Personales"
"19","50,354.4","53,695.3","2.5","Otros gastos de operación"
"20","63,475.4","64,916.3","-1.7","Pensiones y Jubilaciones"
"21","68,098.2","69,560.1","-1.8","Subsidios y transferencias"
"22","-75.4","1,524.","n.s.","Ayudas y otros gastos"
"23","56,845.9","43,849.7","-25.8","Inversión física"
"24","23,841.7","17,262.1","-30.4","Inversión_física_directa"
"25","33,004.3","26,587.5","-22.5","Inversión_física_indirecta"
"26","3,175.6","10,655.7","222.6","Inversión financiera y otras"
"27","109,837.6","111,535.2","-2.4","No programable"
"28","43,920.5","44,227.","-3.2","Costo financiero"
"29","43,920.5","44,227.","-3.2","Intereses comisiones y gastos"
"30","23,745.0","25,373.1","2.7","Intereses_gobFed"
"31","20,175.5","18,854.","-10.1","Intereses_paraestatal"
"32","0.0","0.","n.s.","Apoyo a ahorradores"
"33","0.0","0.","n.s.","IPAB"
"34","0.0","0.","n.s.","Otros"
"35","65,741.9","70,087.7","2.5","Participaciones"
"36","175.1","-2,780.5","n.s.","Adefas"
"37","-37,012.6","-4,077.","n.s.","Balance (A-B)"
"39","-46.1","25,497.9",NA,"Balance no presupuestario"
"40","-24,133.2","3,143.6","n.s.","Balance pùblico"
"41","32,219.3","46,963.","40.1","Balance público sin inversión"
"43","-95.9","89,922.6",NA,"Recursos externos"
"44","11,892.8","-3,662.","n.s.","Recursos internos"
"46","247,839.1","280,244.","8.7","Ingresos tributarios"
"47","157,175.8","162,340.8","-0.7","Ingresos no tributarios"
