"","Concepto","2019","2020","Crecimiento real"
"1","Ingresos Presupuestarios","442,900.6","527,803.","15.4"
"3","Petroleros","-50.0","135,070.7",NA
"4","Petroleros_GobFed","33,923.7","24,073.2","-31.3"
"5","Petroleros_Pemex","39,983.8","14,110.2","-65.8"
"6","NoPetroleros","368,993.1","489,619.7","28.5"
"7","NoPetroleros_GobFed","304,007.2","420,253.7","33.9"
"8","NoPetroleros_GobFed_Tributarios","280,244.9","376,375.7","30.1"
"9","NoPetroleros_GobFed_NoTributarios","23,762.3","43,878.","78.8"
"10","NoPetroleros_OrgDeControl","33,931.8","37,943.5","8.3"
"11","NoPetroleros_OrgDeControl_IMSS","30,981.2","34,622.5","8.2"
"12","NoPetroleros_OrgDeControl_ISSTE","2,950.5","3,321.","9.0"
"13","No_Petroleros_CFE","31,054.1","31,422.","-2.0"
"14","Gasto neto pagado","447,993.2","542,477.6","17.3"
"16","Programable","21.4","1,074,598.9",NA
"17","Gasto de operación","144,880.6","154,739.","3.4"
"18","Servicios Personales","90,933.1","109,673.","16.8"
"19","Otros gastos de operación","53,947.6","45,066.","-19.1"
"20","Pensiones y Jubilaciones","64,916.3","72,582.","8.3"
"21","Subsidios y transferencias","69,573.7","109,406.3","52.3"
"22","Ayudas y otros gastos","1,334.3","17,187.2","-o-"
"23","Inversión física","43,849.7","60,768.1","34.2"
"24","Inversión_física_directa","17,262.2","36,358.5","104.0"
"25","Inversión_física_indirecta","26,587.5","24,409.","-11.1"
"26","Inversión financiera y otras","10,655.7","5,591.","-49.2"
"27","No programable","112,782.8","122,202.3","4.9"
"28","Costo financiero","44,228.0","52,079.3","14.0"
"29","Intereses comisiones y gastos","44,228.0","52,079.3","14.0"
"30","Intereses_gobFed","25,373.1","33,063.5","26.2"
"31","Intereses_paraestatal","18,854.9","19,015.","-2.3"
"32","Apoyo a ahorradores","0.0","0.","n.s."
"33","IPAB","0.0","0.","n.s."
"34","Otros","0.0","0.","n.s."
"35","Participaciones","70,159.3","68,212.","-5.8"
"36","Adefas","-1,604.5","1,910.3","n.s."
"37","Balance (A-B)","-5,092.6","-14,674.","n.s."
"39","Balance no presupuestario","263.9","45,003.4",NA
"40","Balance pùblico","3,143.6","16,266.6","401.2"
"41","Balance público sin inversión","46,963.0","76,467.","57."
"43","Recursos externos","-o-","144,830.4",NA
"44","Recursos internos","-4,892.2","-28,462.","n.s."
"46","Ingresos tributarios","280,244.9","376,379.","30.1"
"47","Ingresos no tributarios","162,655.7","151,423.","-9.8"
