"","2018","2019","Crecimiento real","Concepto"
"1","378,237.4","413,058.1","4.7","Ingresos Presupuestarios"
"3","1.4","342,602.0",NA,"Petroleros"
"4","49,895.9","39,573.8","-23.9","Petroleros_GobFed"
"5","25,046.1","39,637.","51.8","Petroleros_Pemex"
"6","303,295.3","333,846.","5.6","NoPetroleros"
"7","243,067.9","266,712.","5.2","NoPetroleros_GobFed"
"8","228,082.4","252,267.","6.1","NoPetroleros_GobFed_Tributarios"
"9","14,985.6","14,445.","-7.6","NoPetroleros_GobFed_NoTributarios"
"10","32,340.5","33,924.8","0.6","NoPetroleros_OrgDeControl"
"11","27,773.7","30,830.1","6.4","NoPetroleros_OrgDeControl_IMSS"
"12","4,566.8","3,094.7","-35.0","NoPetroleros_OrgDeControl_ISSTE"
"13","27,886.9","33,209.2","14.2","No_Petroleros_CFE"
"14","414,290.4","422,623.","-2.2","Gasto neto pagado"
"16","-4.7","1,592,153.3",NA,"Programable"
"17","160,872.8","146,856.","-12.5","Gasto de operación"
"18","98,383.0","95,257.","-7.2","Servicios Personales"
"19","62,489.8","51,598.","-20.8","Otros gastos de operación"
"20","56,571.8","62,465.1","5.9","Pensiones y Jubilaciones"
"21","56,107.2","62,506.2","6.8","Subsidios y transferencias"
"22","6,275.8","2,312.","-64.7","Ayudas y otros gastos"
"23","48,595.6","43,100.2","-14.9","Inversión física"
"24","24,659.1","20,999.5","-18.3","Inversión_física_directa"
"25","23,936.5","22,100.7","-11.5","Inversión_física_indirecta"
"26","-1,756.1","7,276.","n.s.","Inversión financiera y otras"
"27","87,623.3","98,106.5","7.4","No programable"
"28","14,444.2","19,231.3","27.7","Costo financiero"
"29","14,444.2","19,231.3","27.7","Intereses comisiones y gastos"
"30","7,750.2","13,033.","61.3","Intereses_gobFed"
"31","6,694.0","6,198.","-11.2","Intereses_paraestatal"
"32","0.0","0.","n.s.","Apoyo a ahorradores"
"33","0.0","0.","n.s.","IPAB"
"34","0.0","0.","n.s.","Otros"
"35","76,613.9","82,373.","3.1","Participaciones"
"36","-3,434.8","-3,498.","n.s.","Adefas"
"37","-36,053.0","-9,565.","n.s.","Balance (A-B)"
"39","n.s.","29,984.1",NA,"Balance no presupuestario"
"40","-42,702.3","-5,692.","n.s.","Balance pùblico"
"41","5,399.7","37,243.","-o-","Balance público sin inversión"
"43","n.s.","131,220.7",NA,"Recursos externos"
"44","30,615.2","8,036.","-74.8","Recursos internos"
"46","228,082.3","252,267.2","6.1","Ingresos tributarios"
"47","150,155.1","160,790.8","2.7","Ingresos no tributarios"
