"","2018","2019","Crecimiento real","Concepto"
"1","435,336.0","473,438.1","5.6","Ingresos Presupuestarios"
"2","87,314.4","74,375.1","-17.3","Petroleros"
"3","42,263.2","34,077.4","-21.7","Petroleros_GobFed"
"4","45,051.3","40,297.6","-13.1","Petroleros_Pemex"
"5","348,021.5","399,063.0","11.4","NoPetroleros"
"6","275,760.9","324,252.4","14.2","NoPetroleros_GobFed"
"7","245,210.0","236,228.5","-6.4","NoPetroleros_GobFed_Tributarios"
"8","30,550.9","88,024.0","179.8","NoPetroleros_GobFed_NoTributarios"
"9","32,945.5","34,442.7","1.5","NoPetroleros_OrgDeControl"
"10","29,796.9","31,685.5","3.3","NoPetroleros_OrgDeControl_IMSS"
"11","3,148.6","2,757.2","-15.0","NoPetroleros_OrgDeControl_ISSTE"
"12","39,315.1","40,367.8","-0.3","No_Petroleros_CFE"
"13","454,463.6","477,710.9","2.1","Gasto neto pagado"
"14","368,617.8","390,606.0","2.9","Programable"
"15","187,858.4","169,864.0","-12.2","Gasto de operación"
"16","123,507.3","118,343.1","-6.9","Servicios Personales"
"17","64,351.1","51,520.8","-22.3","Otros gastos de operación"
"18","93,118.1","107,655.8","12.3","Pensiones y Jubilaciones"
"19","42,759.5","76,081.2","72.8","Subsidios y transferencias"
"20","6,124.3","1,508.7","-76.1","Ayudas y otros gastos"
"21","41,014.9","33,439.2","-20.8","Inversión física"
"22","28,132.3","22,593.5","-22.0","Inversión_física_directa"
"23","12,882.6","10,845.7","-18.2","Inversión_física_indirecta"
"24","-2,257.4","2,057.1","n.s.","Inversión financiera y otras"
"25","85,845.8","87,104.9","-1.5","No programable"
"26","14,992.2","16,181.0","4.8","Costo financiero"
"27","14,992.2","16,181.0","4.8","Intereses comisiones y gastos"
"28","8,122.1","8,435.0","0.9","Intereses_gobFed"
"29","6,870.1","7,746.1","9.5","Intereses_paraestatal"
"30","0.0","0.0","n.s.","Apoyo a ahorradores"
"31","0.0","0.0","n.s.","IPAB"
"32","0.0","0.0","n.s.","Otros"
"33","68,078.1","71,087.5","1.4","Participaciones"
"34","2,775.5","-163.6","n.s.","Adefas"
"35","-19,127.7","-4,272.8","n.s.","Balance (A-B)"
"36","-21,778.0","-8,848.3","n.s.","Balance no presupuestario"
"37","-40,905.7","-13,121.1","n.s.","Balance pùblico"
"38","-1,396.7","20,016.3","n.s.","Balance público sin inversión"
"39","-7,027.3","6,154.1","n.s.","Recursos externos"
"40","47,933.0","6,967.0","-85.9","Recursos internos"
"42","245,210.0","236,214.5","-6.5","Ingresos tributarios"
"43","190,126.0","237,223.6","21.2","Ingresos no tributarios"
