"","2018","2019","Crecimiento real","Concepto"
"1","374,623.0","496,617.4","28.7","Ingresos Presupuestarios"
"2","59,744.6","161,484.5","162.4","Petroleros"
"3","45,666.0","32,997.1","-29.8","Petroleros_GobFed"
"4","14,078.6","128,487.4","-o-","Petroleros_Pemex"
"5","314,878.3","335,132.9","3.3","NoPetroleros"
"6","242,187.5","261,776.1","4.9","NoPetroleros_GobFed"
"7","231,814.5","242,879.7","1.7","NoPetroleros_GobFed_Tributarios"
"8","10,373.0","18,896.4","76.9","NoPetroleros_GobFed_NoTributarios"
"9","34,159.3","35,299.8","0.3","NoPetroleros_OrgDeControl"
"10","29,824.2","32,395.5","5.5","NoPetroleros_OrgDeControl_IMSS"
"11","4,335.1","2,904.3","-35.0","NoPetroleros_OrgDeControl_ISSTE"
"12","38,531.5","38,057.0","-4.1","No_Petroleros_CFE"
"13","455,067.0","538,049.2","14.8","Gasto neto pagado"
"14","357,701.6","426,921.9","15.9","Programable"
"15","148,114.6","144,794.8","-5.1","Gasto de operación"
"16","89,625.8","91,086.1","-1.3","Servicios Personales"
"17","58,488.8","53,708.7","-10.8","Otros gastos de operación"
"18","54,467.5","64,459.8","14.9","Pensiones y Jubilaciones"
"19","42,728.8","65,555.6","49.0","Subsidios y transferencias"
"20","446.1","5,135.0","-o-","Ayudas y otros gastos"
"21","50,921.3","48,810.5","-6.9","Inversión física"
"22","30,232.4","28,207.3","-9.4","Inversión_física_directa"
"23","20,688.8","20,603.3","-3.3","Inversión_física_indirecta"
"24","61,023.3","98,166.2","56.2","Inversión financiera y otras"
"25","97,365.4","111,127.2","10.8","No programable"
"26","32,466.7","40,778.9","21.9","Costo financiero"
"27","32,466.7","40,778.9","21.9","Intereses comisiones y gastos"
"28","15,886.3","22,407.2","36.9","Intereses_gobFed"
"29","16,580.3","18,371.7","7.6","Intereses_paraestatal"
"30","0.0","0.0","n.s.","Apoyo a ahorradores"
"31","0.0","0.0","n.s.","IPAB"
"32","0.0","0.0","n.s.","Otros"
"33","66,173.4","66,857.7","-1.9","Participaciones"
"34","-1,274.7","3,490.6","n.s.","Adefas"
"35","-80,444.0","-41,431.8","n.s.","Balance (A-B)"
"36","265.0","-688.8","n.s.","Balance no presupuestario"
"37","-80,179.1","-42,120.5","n.s.","Balance pùblico"
"38","-29,756.9","6,429.2","n.s.","Balance público sin inversión"
"39","36,080.4","-92,942.4","n.s.","Recursos externos"
"40","44,098.7","135,063.0","197.4","Recursos internos"
"41","231,815.3","242,879.8","1.7","Ingresos tributarios"
"42","142,807.6","253,737.6","72.5","Ingresos no tributarios"
