1. Ingresos			
presupuestarios	1,717.1	1,786.5	-0.1
2. Ingresos tributarios	1,078.3	1,173.5	4.5
3. Ingresos tributarios sin			
IEPS de combustibles	1,018.9	1,073.1	1.1
4. Gasto neto total sin			
erogaciones en			
inversiones			
financieras, pago de			
pensiones,			
participaciones y			
costo financiero	1,074.3	951.1	-15.0
5. Gasto neto total sin			
erogaciones en			
inversiones			
financieras, pago de			
pensiones y			
participaciones	1,241.6	1,133.8	-12.3
6. Gasto neto total sin			
erogaciones en			
inversiones financieras	1,788.4	1,735.2	-6.9
7. Gasto neto total	1,808.7	1,771.0	-6.0
8. Gasto corriente			
estructural	726.3	667.8	-11.8
9. Balance primario	175.6	208.5	14.0
10. RFSP	-16.6	71.5	n.a.
11. SHRFSP	9,947.7	10,369.5	0.1
12. Deuda pública	10,128.1	10,734.0	1.7
