
""	A. Ingresos presupuestarios			457,730.0			491,028.7			2.7						1,717,138.1			1,786,462.1			-0.1	
""																							
""	Petroleros1_/	94,803.7	84,356.5	-14.8		323,132.7	263,390.8	-21.8															
""	Gobierno Federal			40,341.9			38,049.7			-9.7						165,056.2			152,923.6			-11.1	
""	Pemex			54,461.8			46,306.8			-18.6						158,076.5			110,467.3			-32.9	
""	No petroleros			362,926.3			406,672.3			7.3						1,394,005.5			1,523,071.3			4.9	
""	Gobierno Federal			304,372.3			338,450.8			6.5						1,155,697.1			1,261,985.8			4.8	
""	Tributarios			293,867.3			315,504.8			2.8						1,078,279.0			1,173,501.2			4.5	
""	No tributarios			10,505.0			22,946.			109.2						77,418.0			88,484.6			9.7	
""	Organismos de control presupuestario directo			33,505.0			35,345.			1.0						126,901.9			134,357.2			1.6	
""	IMSS			28,491.6			31,172.			4.8						110,718.1			120,806.9			4.7	
""	ISSSTE			5,013.4			4,172.			-20.3						16,183.7			13,550.3			-19.6	
""	Empresa Productiva del Estado ( CFE )			25,048.9			32,875.			25.7						111,406.6			126,728.3			9.2	
""	B. Gasto neto pagado			431,920.5			424,834.			-5.8						1,808,698.3			1,771,046.7			-6.0	
""																							
""	Programable	323,119.6	304,514.5	-9.7		1,295,966.3	1,267,668.7	-6.1															
""	Gasto de operación			133,553.6			131,013.5			-6.0						540,943.0			546,491.5			-3.0	
""	Servicios personales2_/			80,926.6			85,074.			0.7						350,188.6			355,138.9			-2.7	
""	Otros gastos de operación			52,627.0			45,938.5			-16.4						190,754.4			191,352.6			-3.7	
""	Pensiones y jubilaciones			62,787.8			70,569.1			7.6						265,159.7			289,914.2			4.9	
""	Subsidios y transferencias y aportaciones3_/			66,938.8			52,358.			-25.1						243,130.5			203,341.7			-19.7	
""	Ayudas y otros gastos			2,790.3			4,522.			55.2						15,819.8			9,509.0			-42.3	
""	Inversión física2_/			54,827.0			41,645.3			-27.3						210,647.1			182,599.1			-16.8	
""	Directo			28,191.4			21,644.			-26.5						108,483.2			100,380.7			-11.2	
""	Indirecto			26,635.6			20,000.			-28.1						102,163.9			82,218.4			-22.8	
""	Inversión financiera y otros 4_/			2,222.1			4,405.			89.9						20,266.2			35,813.3			69.6	
""	No programable			108,800.8			120,319.8			5.9						512,732.1			503,378.0			-5.8	
""	Costo financiero			41,605.8			43,852.			0.9						167,288.7			182,683.4			4.8	
""	Intereses, comisiones y gastos			22,605.8			21,136.8			-10.5						129,120.2			131,343.6			-2.4	
""	Gobierno Federal			15,286.3			16,736.1			4.9						67,088.6			78,608.9			12.5	
""	Sector paraestatal			7,319.5			4,400.7			-42.4						62,031.6			52,734.7			-18.4	
""	Apoyo a ahorradores y deudores			19,000.0			22,715.			14.5						38,168.5			51,339.9			29.1	
""	IPAB			19,000.0			22,715.			14.5						38,168.5			45,431.7			14.3	
""	Otros			0.0			0.			n.s.						0.0			5,908.2			n.s.	
""	Participaciones			71,215.2			79,184.2			6.5						281,679.2			311,546.3			6.2	
""	Adefas y otros5_/			-4,020.2			-2,717.1			n.s.						63,764.2			9,148.2			-86.2	
""	C. Balance presupuestario (A – B)			25,809.6			66,194.5			145.6						-91,560.2			15,415.4			n.s.	
""																							
""	D. Balance no presupuestario	71,930.9	-3,667.	n.s.		97,363.3	22,628.5	-77.7															
""	E. Balance público (C + D) = (F + G)			97,740.4			62,526.			-38.7						5,803.1			38,043.9			-o-	
""	Balance público sin inversión6_/			151,807.8			104,074.			-34.3						214,620.4			220,362.3			-1.4	
""																							
""	F. Recursos externos	18,524.0	42,592.5	120.2		128,627.4	133,709.1	-0.2															
""	G. Recursos internos			-116,264.4			-105,119.3			n.s.						-134,430.5			-171,753.0			n.s.	
""	Partidas informativas																						
""	Ingresos tributarios			293,867.2			315,547.1			2.8						1,078,278.9			1,173,543.4			4.5	
""	Ingresos no tributarios			163,862.8			175,481.			2.6						638,859.2			612,918.7			-7.9	
