""			
""		Comisiones y Gastos	
Concepto	Intereses	De	Total
""		Otras	
""		Compromiso	
""			
Estructura por Plazo	743.1	3.6 18.2	764.9
Largo Plazo	742.2	1.0 18.2	761.4
Corto Plazo	0.9	2.6 0.0	3.5
Estructura por Usuario	743.1	3.6 18.2	764.9
Gobierno Federal	577.3	1.0 18.2	596.5
Empresas Productivas del Estado 1_/	130.8	2.6 0.0	133.4
Banca de Desarrollo	35.0	0.0 0.0	35.0
Estructura por Fuente de Financiamiento	743.1	3.6 18.2	764.9
Mercado de Capitales	589.3	0.0 16.5	605.8
Organismos Financieros Internacionales (OFI’s)	126.6	1.0 1.7	129.3
Comercio Exterior	0.3	0.0 0.0	0.3
Mercado Bancario	22.2	2.6 0.0	24.8
Pidiregas	4.7	0.0 0.0	4.7
