""		
""		Comisiones
Concepto	Intereses	Total y Gastos
""		
Estructura por Plazo	13,526.7	791.3 14,318.0
Largo Plazo	9,496.6	791.3 10,287.9
Corto Plazo	4,030.1	0.0 4,030.1
Estructura por Usuario	13,526.7	791.3 14,318.0
Gobierno Federal	10,570.4	791.3 11,361.7
Largo Plazo	7,031.4	791.3 7,822.7
Corto Plazo	3,539.0	0.0 3,539.0
Empresas Productivas del Estado 1_/	2,305.5	0.0 2,305.5
Largo Plazo	1,853.3	0.0 1,853.3
Corto Plazo	452.2	0.0 452.2
Banca de Desarrollo	650.8	0.0 650.8
Largo Plazo	611.9	0.0 611.9
Corto Plazo	38.9	0.0 38.9
Estructura por Fuente de Financiamiento	13,526.7	791.3 14,318.0
Emisión de Valores	11,285.0	735.6 12,020.6
Fondo de Ahorro S.A.R.	293.8	0.0 293.8
Banca Comercial	1,111.8	0.0 1,111.8
Obligaciones por Ley del ISSSTE 2_/	22.5	0.0 22.5
Bonos de Pensión PEMEX  3_/	0.0	0.0 0.0
Bonos de Pensión CFE  4_/	0.0	0.0 0.0
Otros	813.6	55.7 869.3
