""	Enero-abril		Anual			Avance % respecto a:
""	Variación		2020			2020
Concepto						
""	2019p_/ 2020p_/ % real	2019p_/	Programa1_/	Estimado2_/	2019	Programa1_/ Estimado2_/
""	(1) (2) (2/1)	(3)	(4)	(5)	(1/3)	(2/4) (2/5)
""						
1. Ingresos presupuestarios	1,786.3 1,869.3 1.5	5,385.0	5,523.3	5,205.5		33.2 33.8 35.9
2. Ingresos tributarios	1,173.5 1,277.8 5.6	3,202.6	3,505.8	3,350.8		36.6 36.4 38.1
3. Ingresos tributarios sin IEPS de						
combustibles	1,073.1 1,171.2 5.9	2,905.1	3,163.8	3,011.2		36.9 37.0 38.9
4. Gasto neto total sin erogaciones						
en inversiones financieras, pago						
""	955.3 1,052.0 6.8	3,203.7	3,319.5	3,344.3		29.8 31.7 31.5
de pensiones, participaciones y						
costo financiero						
5. Gasto neto total sin erogaciones						
en inversiones financieras, pago	1,138.0 1,251.8 6.7	3,870.1	4,046.9	4,064.6		29.4 30.9 30.8
de pensiones y participaciones						
6. Gasto neto total sin erogaciones						
32.3 en inversiones financieras	1,739.5 1,908.8 6.5	5,626.0	5,963.5	5,918.5		30.9 32.0
7. Gasto neto total	1,775.3 1,957.4 7.0	5,792.6	6,070.4	6,019.5		30.6 32.2 32.5
8. Gasto corriente estructural	669.7 761.9 10.4	2,341.6	2,415.2	2,429.7		28.6 31.5 31.4
9. Balance primario	204.2 117.7 -44.1	268.0	180.7	-93.2		76.2 65.1 -126.3
10. RFSP	80.3 -104.6 n.a.	-567.8	-678.5	-1,085.3		-14.1 15.4 9.6
11. SHRFSP	10,368.8 12,088.7 13.1	10,870.0	11,961.6	12,692.8		95.4 101.1 95.2
12. Deuda pública	10,782.2 12,361.5 11.2	11,027.4	12,013.6	12,852.8		97.8 102.9 96.2
