""			
""		Comisiones y Gastos	
Concepto	Intereses	De	Total
""		Otras	
""		Compromiso	
""			
Estructura por Plazo	684.4	0.1 30.3	714.8
Largo Plazo	658.8	0.1 30.3	689.2
Corto Plazo	25.6	0.0 0.0	25.6
Estructura por Usuario	684.4	0.1 30.3	714.8
Gobierno Federal	174.9	0.1 6.0	181.0
Empresas Productivas del Estado 1_/	474.8	0.0 24.3	499.1
Banca de Desarrollo	34.7	0.0 0.0	34.7
Estructura por Fuente de Financiamiento	684.4	0.1 30.3	714.8
Mercado de Capitales	542.7	0.0 3.2	545.9
Organismos Financieros Internacionales (OFI’s)	85.8	0.1 3.0	88.9
Comercio Exterior	4.3	0.0 0.1	4.4
Mercado Bancario	48.6	0.0 24.0	72.6
Pidiregas	3.0	0.0 0.0	3.0
